a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childC	founder6	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder7	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder8	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder9	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder10	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder11	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder12	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder13	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder14	0.998	0.002	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder15	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder16	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder17	0.998	0.002	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder18	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder19	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder20	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder21	0.998	0.002	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder22	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder23	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder24	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder25	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder26	0.998	0.002	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder27	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder28	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder29	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder2	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder4	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childD	founder5	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder6	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder7	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder8	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childD	founder9	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childE	founder10	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder11	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder12	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder13	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder14	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder15	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder16	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder17	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder18	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder19	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder20	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder21	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder22	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder23	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder24	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder25	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder26	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder27	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder28	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder29	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder2	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder3	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder5	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder6	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder7	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder8	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childE	founder9	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder10	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder11	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder12	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childF	founder13	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder14	0.999	0.001	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder15	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder16	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder17	0.999	0.001	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder18	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder19	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder20	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childF	founder21	0.998	0.002	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childF	founder22	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder23	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder24	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder25	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder26	0.999	0.001	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder27	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder28	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder29	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder2	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder3	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder5	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder6	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder7	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder8	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childF	founder9	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childG	childH	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childG	childI	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childG	founder0	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childG	founder10	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childG	founder11	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childG	founder12	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childG	founder13	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childG	founder14	0.998	0.002	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childG	founder15	0.998	0.001	0.001	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761961471582399
childG	founder16	0.997	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5756193765559553
childG	founder17	0.997	0.003	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5756208242700513
childG	founder18	0.997	0.003	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5756208242700513
childG	founder19	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childG	founder20	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childG	founder21	0.998	0.002	0.0	0.001	99994	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childG	founder22	0.997	0.003	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5756208242700513
