a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childA	childH	0.0	0.95	0.05	0.525	99997	20	no_deam	PO	1	lcmlkin	0.04082482904638632
childA	founder0	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childA	founder1	0.001	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.0012909944487358065
childB	childE	0.002	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childB	childF	0.002	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childB	founder0	0.001	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.0012909944487358065
childB	founder1	0.002	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childC	childG	0.0	0.998	0.002	0.501	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childC	founder1	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childC	founder2	0.0	0.998	0.001	0.501	99997	20	no_deam	PO	1	lcmlkin	0.0012909944487358065
childD	founder3	0.0	0.998	0.002	0.501	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childE	founder4	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childF	founder4	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childG	founder5	0.0	0.997	0.002	0.501	99997	20	no_deam	PO	1	lcmlkin	0.002081665999466134
childA	childD	0.124	0.875	0.001	0.438	93166	2	no_deam	PO	1	lcmlkin	0.10165628362280416
childA	childH	0.019	0.927	0.054	0.517	93291	2	no_deam	PO	1	lcmlkin	0.05355993527504178
childA	founder0	0.099	0.9	0.001	0.451	93251	2	no_deam	PO	1	lcmlkin	0.08124448699245178
childA	founder1	0.114	0.885	0.001	0.443	93202	2	no_deam	PO	1	lcmlkin	0.09349153259342081
childB	childE	0.142	0.857	0.001	0.429	93104	2	no_deam	PO	1	lcmlkin	0.11635291143757427
childB	childF	0.143	0.856	0.001	0.429	93211	2	no_deam	PO	1	lcmlkin	0.11716939304556744
childB	founder0	0.098	0.902	0.001	0.451	93215	2	no_deam	PO	1	lcmlkin	0.0800187478032492
childB	founder1	0.139	0.859	0.001	0.431	93124	2	no_deam	PO	1	lcmlkin	0.11431389533502334
childC	childG	0.072	0.927	0.001	0.465	93233	2	no_deam	PO	1	lcmlkin	0.059200225224796774
childC	founder1	0.091	0.908	0.001	0.455	93208	2	no_deam	PO	1	lcmlkin	0.07471278337741138
childC	founder2	0.053	0.946	0.001	0.474	93299	2	no_deam	PO	1	lcmlkin	0.0436882898116494
childD	founder3	0.042	0.957	0.001	0.48	93119	2	no_deam	PO	1	lcmlkin	0.034708308323320336
childE	founder4	0.074	0.925	0.001	0.463	93177	2	no_deam	PO	1	lcmlkin	0.0608331050224026
childF	founder4	0.086	0.913	0.001	0.458	93308	2	no_deam	PO	1	lcmlkin	0.0706304938866115
childG	founder5	0.039	0.958	0.003	0.482	93229	2	no_deam	PO	1	lcmlkin	0.0331360830515618
childA	childD	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childA	childH	0.001	0.95	0.048	0.524	99997	10	no_deam	PO	1	lcmlkin	0.04002082791080999
childA	founder0	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childA	founder1	0.002	0.997	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.002081665999466134
childB	childE	0.003	0.997	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.002449489742783179
childB	childF	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
