Ind1	Ind2	k0_hat	k1_hat	k2_hat	pi_HAT	nbSNP	cov	deamination	kinship	degree	program
childD	founder0	0.729	0.269	0.002	0.137	90847	1	deam	GP	2	lcmlkin
childD	founder1	0.754	0.234	0.013	0.129	90668	1	deam	GP	2	lcmlkin
childE	founder0	0.791	0.198	0.011	0.110	90844	1	deam	GP	2	lcmlkin
childE	founder1	0.846	0.147	0.008	0.081	90710	1	deam	GP	2	lcmlkin
childF	founder0	0.788	0.201	0.011	0.112	90770	1	deam	GP	2	lcmlkin
childF	founder1	0.820	0.177	0.003	0.092	90681	1	deam	GP	2	lcmlkin
childG	founder1	0.747	0.240	0.013	0.133	90629	1	deam	GP	2	lcmlkin
childG	founder2	0.644	0.346	0.010	0.183	90755	1	deam	GP	2	lcmlkin
childH	founder4	0.771	0.228	0.001	0.115	90682	1	deam	GP	2	lcmlkin
childB	childI	0.418	0.504	0.078	0.330	99997	20	deam	GP	2	lcmlkin
childD	founder0	0.701	0.294	0.005	0.152	99996	20	deam	GP	2	lcmlkin
childD	founder1	0.726	0.268	0.006	0.140	99996	20	deam	GP	2	lcmlkin
childE	founder0	0.739	0.258	0.002	0.131	99996	20	deam	GP	2	lcmlkin
childE	founder1	0.782	0.216	0.002	0.110	99996	20	deam	GP	2	lcmlkin
childF	founder0	0.739	0.256	0.005	0.133	99997	20	deam	GP	2	lcmlkin
childF	founder1	0.777	0.222	0.001	0.112	99997	20	deam	GP	2	lcmlkin
childG	founder1	0.692	0.304	0.004	0.156	99997	20	deam	GP	2	lcmlkin
childG	founder2	0.608	0.387	0.005	0.198	99997	20	deam	GP	2	lcmlkin
childH	founder4	0.754	0.242	0.003	0.124	99997	20	deam	GP	2	lcmlkin
childB	childI	0.417	0.511	0.072	0.327	99286	2	deam	GP	2	lcmlkin
childD	founder0	0.720	0.271	0.010	0.145	99352	2	deam	GP	2	lcmlkin
childD	founder1	0.739	0.255	0.005	0.133	99347	2	deam	GP	2	lcmlkin
childE	founder0	0.768	0.225	0.008	0.120	99347	2	deam	GP	2	lcmlkin
childE	founder1	0.799	0.200	0.001	0.101	99344	2	deam	GP	2	lcmlkin
childF	founder0	0.760	0.234	0.006	0.123	99358	2	deam	GP	2	lcmlkin
childF	founder1	0.801	0.194	0.005	0.102	99350	2	deam	GP	2	lcmlkin
childG	founder1	0.708	0.285	0.007	0.150	99343	2	deam	GP	2	lcmlkin
childG	founder2	0.618	0.377	0.005	0.193	99335	2	deam	GP	2	lcmlkin
childH	founder4	0.768	0.228	0.004	0.118	99351	2	deam	GP	2	lcmlkin
childB	childI	0.418	0.504	0.078	0.330	99998	10	deam	GP	2	lcmlkin
childD	founder0	0.702	0.289	0.009	0.153	99998	10	deam	GP	2	lcmlkin
childD	founder1	0.727	0.267	0.006	0.140	99998	10	deam	GP	2	lcmlkin
childE	founder0	0.744	0.250	0.007	0.131	99998	10	deam	GP	2	lcmlkin
childE	founder1	0.785	0.210	0.004	0.109	99998	10	deam	GP	2	lcmlkin
childF	founder0	0.736	0.261	0.003	0.133	99997	10	deam	GP	2	lcmlkin
childF	founder1	0.784	0.213	0.003	0.110	99997	10	deam	GP	2	lcmlkin
childG	founder1	0.692	0.302	0.006	0.157	99998	10	deam	GP	2	lcmlkin
childG	founder2	0.609	0.386	0.005	0.198	99998	10	deam	GP	2	lcmlkin
childH	founder4	0.755	0.243	0.002	0.123	99998	10	deam	GP	2	lcmlkin
