IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childB	familyX	childI	OT	0	0.4333	0.4000	0.1667	0.3667	-1	0.789405	1.0000	4.3784	20	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5094	0.4906	0.0000	0.2453	-1	0.746220	1.0000	4.1026	20	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5166	0.4834	0.0000	0.2417	-1	0.747010	0.9989	3.3261	20	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.4967	0.5033	0.0000	0.2517	-1	0.747675	1.0000	4.3784	20	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.4992	0.5008	0.0000	0.2504	-1	0.746915	1.0000	5.0303	20	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.5003	0.4997	0.0000	0.2499	-1	0.746595	1.0000	4.8529	20	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.4998	0.5002	0.0000	0.2501	-1	0.745985	1.0000	4.6857	20	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.5036	0.4964	0.0000	0.2482	-1	0.747155	1.0000	5.4194	20	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5149	0.4851	0.0000	0.2426	-1	0.745870	1.0000	7.6522	20	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6781	0.2834	0.0385	0.1802	-1	0.736785	1.0000	4.3784	20	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.750464	0.0000	0.9038	2	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.704338	0.0000	0.8091	2	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706652	0.0000	0.6583	2	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.707903	0.0000	0.9320	2	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706475	0.0000	0.9510	2	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.705870	0.0000	0.9135	2	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.705633	0.0000	1.0947	2	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706384	0.0000	0.6446	2	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.704306	0.0001	1.1868	2	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.701755	0.0000	0.7456	2	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4351	0.3981	0.1668	0.3659	-1	0.789205	1.0000	4.3784	10	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5129	0.4871	0.0000	0.2436	-1	0.746100	1.0000	4.1026	10	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5197	0.4803	0.0000	0.2401	-1	0.746800	0.9989	3.3261	10	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.4999	0.5001	0.0000	0.2500	-1	0.747405	1.0000	4.3784	10	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.5017	0.4983	0.0000	0.2491	-1	0.746735	1.0000	5.4194	10	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.5030	0.4970	0.0000	0.2485	-1	0.746440	1.0000	4.6857	10	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.5026	0.4974	0.0000	0.2487	-1	0.745830	1.0000	4.6857	10	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.5069	0.4931	0.0000	0.2465	-1	0.746890	1.0000	5.2188	10	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5173	0.4827	0.0000	0.2413	-1	0.745710	1.0000	7.6522	10	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6821	0.2782	0.0397	0.1788	-1	0.736540	1.0000	4.3784	10	no_deam	GP	2	plink_Lcmlkin
