IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childB	familyX	founder0	OT	0	0.7642	0.0376	0.1982	0.217	-1	0.758786	0.0352	1.5385	2	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.7826	0.0062	0.2112	0.2143	-1	0.759213	0.0079	1.4146	2	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.7656	0.0304	0.204	0.2192	-1	0.759756	0.0052	1.3855	2	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.767	0.0299	0.2031	0.218	-1	0.759415	0.0352	1.5385	2	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.7788	0.0138	0.2074	0.2143	-1	0.75892	0.3255	1.8696	2	no_deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.7728	0.0254	0.2018	0.2145	-1	0.758519	0.0033	1.3571	2	no_deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.7738	0.018	0.2082	0.2172	-1	0.759623	0.0009	1.2874	2	no_deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	0.7689	0.0257	0.2054	0.2183	-1	0.759652	0.0119	1.4444	2	no_deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	0.7739	0.0246	0.2016	0.2138	-1	0.758344	0.2733	1.8286	2	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.80136	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.0021	0.8851	0.1127	0.5553	-1	0.82783	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80402	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803055	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.803355	1.0	198.0	10	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.8033	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80344	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802445	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.80403	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803765	1.0	198.0	10	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.80262	1.0	198.0	10	no_deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.80271	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.80462	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804015	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.803485	1.0		10	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.800868	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.0005	0.8907	0.1088	0.5541	-1	0.826885	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80344	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802365	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.802771	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.802578	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.802838	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.801873	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.803445	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803155	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.80194	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.802118	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804107	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.803394	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.80297	1.0		8	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.797881	1.0	65.3333	4	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.0145	0.8815	0.104	0.5447	-1	0.82355	1.0		4	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.0162	0.9838	0.0	0.4919	-1	0.800728	1.0	48.75	4	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.799916	1.0		4	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.799799	1.0	198.0	4	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.0172	0.9828	0.0	0.4914	-1	0.79956	1.0		4	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder0	OT	0	0.0183	0.9817	0.0	0.4908	-1	0.799768	1.0	98.5	4	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.799236	1.0	98.5	4	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.0151	0.9849	0.0	0.4925	-1	0.800729	1.0	98.5	4	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.0137	0.9863	0.0	0.4931	-1	0.800724	1.0		4	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.799601	1.0	198.0	4	deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.799329	1.0	98.5	4	deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.0137	0.9863	0.0	0.4931	-1	0.800754	1.0		4	deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	0.0168	0.9832	0.0	0.4916	-1	0.80007	1.0	98.5	4	deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.800222	1.0	98.5	4	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.7875	0.0	0.2125	0.2125	-1	0.75	0.0016	1.314	1	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.7197	0.0	0.2803	0.2803	-1	0.775577	0.0008	1.2759	1	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.7837	0.0	0.2163	0.2163	-1	0.752311	0.0003	1.2247	1	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.7893	0.0	0.2107	0.2107	-1	0.750604	0.0	1.1522	1	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.7847	0.0	0.2153	0.2153	-1	0.752072	0.0003	1.2247	1	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.7845	0.0	0.2155	0.2155	-1	0.751753	0.0008	1.2759	1	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder0	OT	0	0.7877	0.0	0.2123	0.2123	-1	0.750471	0.0486	1.5714	1	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.7846	0.0	0.2154	0.2154	-1	0.752455	0.0003	1.2247	1	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.784	0.0	0.216	0.216	-1	0.752846	0.0001	1.1868	1	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.7857	0.0	0.2143	0.2143	-1	0.752792	0.0003	1.2247	1	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.7886	0.0	0.2114	0.2114	-1	0.750319	0.0	1.1064	1	deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.7872	0.0	0.2128	0.2128	-1	0.750706	0.0	1.0204	1	deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.7858	0.0	0.2142	0.2142	-1	0.752152	0.0079	1.4146	1	deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	0.7863	0.0	0.2137	0.2137	-1	0.751369	0.0003	1.2247	1	deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	0.7859	0.0	0.2141	0.2141	-1	0.751652	0.0001	1.1758	1	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.801495	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.0	0.8878	0.1122	0.5561	-1	0.82795	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80409	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803175	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.80355	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.80339	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.803665	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80261	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.80414	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803985	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.802875	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.802908	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.80471	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.80411	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.803645	1.0		20	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.2338	0.7468	0.0194	0.3928	-1	0.782235	1.0	7.2917	2	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.2051	0.658	0.1369	0.4659	-1	0.808403	1.0	6.6538	2	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.2297	0.7396	0.0308	0.4005	-1	0.784914	1.0	12.2667	2	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.2281	0.7452	0.0267	0.3993	-1	0.784305	1.0	8.4762	2	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.2315	0.742	0.0265	0.3975	-1	0.783887	1.0	8.0455	2	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.2273	0.7452	0.0275	0.4001	-1	0.784555	1.0	8.4762	2	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder0	OT	0	0.221	0.7551	0.0239	0.4015	-1	0.784574	1.0	7.6522	2	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.2314	0.7425	0.0261	0.3973	-1	0.783802	1.0	6.1071	2	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.2268	0.7434	0.0298	0.4015	-1	0.785063	1.0	8.0455	2	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.2237	0.7489	0.0275	0.4019	-1	0.784964	1.0	10.7059	2	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.2268	0.7468	0.0264	0.3998	-1	0.784383	1.0	10.0556	2	deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.2298	0.746	0.0241	0.3971	-1	0.783603	1.0	8.95	2	deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.2245	0.7444	0.0311	0.4033	-1	0.785568	1.0	15.5833	2	deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	0.2278	0.7441	0.0282	0.4002	-1	0.78462	1.0	8.4762	2	deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	0.2298	0.7436	0.0265	0.3983	-1	0.78407	1.0	8.0455	2	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.801023	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.0	0.8901	0.1099	0.5549	-1	0.827273	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.803693	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802558	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.803025	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.80296	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.803215	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802125	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.803675	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803475	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.802333	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.802155	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.80426	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.803725	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.803303	1.0		10	deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.800929	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.0086	0.8777	0.1137	0.5525	-1	0.827273	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.0107	0.9893	0.0	0.4946	-1	0.803334	1.0	198.0	8	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802406	1.0	65.3333	8	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.802898	1.0	198.0	8	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.802585	1.0		8	no_deam	PO	1	plink_Lcmlkin	0.0
