IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childC	familyX	childI	OT	0	1.0	0.0	0.0	0.0	-1	0.695265	0.0199	1.4875	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder0	OT	0	1.0	0.0	0.0	0.0	-1	0.6872	0.0019	1.3256	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder10	OT	0	1.0	0.0	0.0	0.0	-1	0.687135	0.8949	2.431	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder11	OT	0	1.0	0.0	0.0	0.0	-1	0.686045	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder12	OT	0	1.0	0.0	0.0	0.0	-1	0.68864	0.073	1.6184	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder13	OT	0	1.0	0.0	0.0	0.0	-1	0.688835	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder14	OT	0	1.0	0.0	0.0	0.0	-1	0.688109	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder15	OT	0	1.0	0.0	0.0	0.0	-1	0.687905	0.9775	2.7547	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder16	OT	0	1.0	0.0	0.0	0.0	-1	0.688757	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder17	OT	0	1.0	0.0	0.0	0.0	-1	0.687509	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder18	OT	0	1.0	0.0	0.0	0.0	-1	0.688635	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder19	OT	0	1.0	0.0	0.0	0.0	-1	0.689037	0.0284	1.519	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.68906	0.9558	2.6182	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.686984	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder22	OT	0	1.0	0.0	0.0	0.0	-1	0.689245	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder23	OT	0	1.0	0.0	0.0	0.0	-1	0.68701	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder24	OT	0	1.0	0.0	0.0	0.0	-1	0.688042	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder25	OT	0	1.0	0.0	0.0	0.0	-1	0.687405	0.0284	1.519	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder26	OT	0	1.0	0.0	0.0	0.0	-1	0.688404	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder27	OT	0	1.0	0.0	0.0	0.0	-1	0.68743	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder28	OT	0	1.0	0.0	0.0	0.0	-1	0.68817	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder29	OT	0	1.0	0.0	0.0	0.0	-1	0.687035	0.0284	1.519	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder3	OT	0	1.0	0.0	0.0	0.0	-1	0.688492	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder4	OT	0	1.0	0.0	0.0	0.0	-1	0.688125	0.9844	2.8269	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder5	OT	0	1.0	0.0	0.0	0.0	-1	0.690267	0.1581	1.726	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder6	OT	0	1.0	0.0	0.0	0.0	-1	0.689057	0.9558	2.6182	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder7	OT	0	1.0	0.0	0.0	0.0	-1	0.689545	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder8	OT	0	1.0	0.0	0.0	0.0	-1	0.688055	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	founder9	OT	0	1.0	0.0	0.0	0.0	-1	0.688487	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder10	OT	0	1.0	0.0	0.0	0.0	-1	0.688707	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder11	OT	0	1.0	0.0	0.0	0.0	-1	0.687937	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder12	OT	0	1.0	0.0	0.0	0.0	-1	0.689337	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder13	OT	0	1.0	0.0	0.0	0.0	-1	0.688337	0.073	1.6184	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder14	OT	0	1.0	0.0	0.0	0.0	-1	0.687831	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder15	OT	0	1.0	0.0	0.0	0.0	-1	0.686852	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder16	OT	0	1.0	0.0	0.0	0.0	-1	0.688619	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder17	OT	0	1.0	0.0	0.0	0.0	-1	0.688306	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder18	OT	0	1.0	0.0	0.0	0.0	-1	0.688267	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder19	OT	0	1.0	0.0	0.0	0.0	-1	0.689779	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.687622	0.6919	2.1587	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.687291	0.6919	2.1587	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder22	OT	0	1.0	0.0	0.0	0.0	-1	0.687967	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder23	OT	0	1.0	0.0	0.0	0.0	-1	0.687107	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder24	OT	0	1.0	0.0	0.0	0.0	-1	0.688429	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder25	OT	0	1.0	0.0	0.0	0.0	-1	0.687087	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder26	OT	0	1.0	0.0	0.0	0.0	-1	0.688446	0.9399	2.5536	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder27	OT	0	1.0	0.0	0.0	0.0	-1	0.687512	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder28	OT	0	1.0	0.0	0.0	0.0	-1	0.687597	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder29	OT	0	1.0	0.0	0.0	0.0	-1	0.687642	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder2	OT	0	1.0	0.0	0.0	0.0	-1	0.687619	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder4	OT	0	1.0	0.0	0.0	0.0	-1	0.689427	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder5	OT	0	0.979	0.021	0.0	0.0105	-1	0.690059	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder6	OT	0	1.0	0.0	0.0	0.0	-1	0.689754	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder7	OT	0	1.0	0.0	0.0	0.0	-1	0.688502	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder8	OT	0	1.0	0.0	0.0	0.0	-1	0.689277	0.0544	1.5844	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childD	familyX	founder9	OT	0	1.0	0.0	0.0	0.0	-1	0.689604	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
