a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childE	childF	98587	0.258693	0.505076	0.236231	0.0	0.0	0.0	0.0	0.0	0.0	0.488769	0.0	0.0	0.244385	0.0	0.0	0.236231	0.0	0.236231	0.488769	0.0	-167516.861599	62	-1	0.99311	3.936687e-01,1.234371e-01,1.037386e-02,1.233866e-01,2.440683e-01,3.607730e-02,8.645767e-03,3.442083e-02,2.592156e-02	0.077927	0.725656	0.255791	-170073.74817	14	2	deam	FS	1	ngsrelateWithRealFreq	0.009847493522042379
childA	childB	99409	0.266421	0.489078	0.244482	1e-06	4e-06	1.1e-05	3e-06	1e-06	0.0	0.489026	1.5e-05	6e-06	0.244514	2e-06	2e-06	0.244483	0.0	0.244483	0.489035	5e-06	-161168.969994	54	-1	0.99999	4.010355e-01,1.216756e-01,9.178879e-03,1.229410e-01,2.395885e-01,3.414075e-02,1.099459e-02,3.472878e-02,2.571638e-02	0.0842	0.718063	0.251357	-163896.665607	5	10	deam	FS	1	ngsrelateWithRealFreq	0.011823530902399676
childE	childF	99410	0.256619	0.501562	0.241818	0.0	0.0	0.0	0.0	1e-06	0.0	0.492599	1e-06	1e-06	0.2463	0.0	0.0	0.241819	0.0	0.241819	0.4926	0.0	-161204.534218	182	-1	1.0	4.000494e-01,1.213191e-01,1.050230e-02,1.216930e-01,2.402702e-01,3.634280e-02,9.186530e-03,3.436404e-02,2.627273e-02	0.081945	0.72065	0.252931	-164079.446492	6	10	deam	FS	1	ngsrelateWithRealFreq	0.0061426413699645415
childA	childB	99379	0.26599	0.489726	0.24428	0.0	4e-06	0.0	0.0	0.0	0.0	0.489146	0.0	4e-06	0.244573	0.0	2e-06	0.24428	0.0	0.24428	0.489147	-0.0	-160447.363877	62	-1	0.99998	4.019774e-01,1.214677e-01,9.303711e-03,1.227238e-01,2.387540e-01,3.434232e-02,1.095808e-02,3.474041e-02,2.573254e-02	0.084865	0.715827	0.250676	-163155.552711	6	8	no_deam	FS	1	ngsrelateWithRealFreq	0.011459400449703587
childE	childF	99380	0.255992	0.502252	0.241752	1e-06	2e-06	0.0	0.0	1e-06	0.0	0.49288	1e-06	4e-06	0.24644	0.0	1e-06	0.241752	0.0	0.241752	0.492881	-1e-06	-160550.219245	58	-1	0.99999	4.010066e-01,1.209533e-01,1.055824e-02,1.213615e-01,2.395548e-01,3.649287e-02,9.240944e-03,3.458767e-02,2.624416e-02	0.08265	0.718964	0.252309	-163398.860842	6	8	no_deam	FS	1	ngsrelateWithRealFreq	0.006027854012830774
childA	childB	98871	0.266945	0.490209	0.242845	0.0	0.0	0.0	0.0	0.0	0.0	0.48795	0.0	0.0	0.243975	0.0	0.0	0.242845	0.0	0.242845	0.48795	0.0	-158718.377238	342	-1	0.996222	4.011524e-01,1.223141e-01,9.285253e-03,1.226757e-01,2.388881e-01,3.403203e-02,1.096335e-02,3.485619e-02,2.583292e-02	0.084762	0.714963	0.250603	-161209.804761	10	4	no_deam	FS	1	ngsrelateWithRealFreq	0.012030388342304934
childE	childF	98907	0.262121	0.49559	0.242281	4e-06	3e-06	0.0	0.0	0.0	0.0	0.490079	0.0	7e-06	0.24504	0.0	2e-06	0.242281	0.0	0.242281	0.490082	-2e-06	-158892.851197	98	-1	0.996584	4.003217e-01,1.214240e-01,1.087069e-02,1.217075e-01,2.396918e-01,3.633636e-02,9.296228e-03,3.407379e-02,2.627789e-02	0.084137	0.718267	0.251421	-161580.644843	10	4	no_deam	FS	1	ngsrelateWithRealFreq	0.008678511815589892
childA	childB	69313	0.338276	0.416224	0.245496	0.0	0.0	0.0	1e-06	2e-06	2e-06	0.45361	4e-06	4e-06	0.226806	2e-06	2e-06	0.245497	2e-06	0.245499	0.453612	0.0	-99052.018215	78	-1	0.704508	3.936403e-01,1.255624e-01,1.227515e-02,1.246372e-01,2.427845e-01,3.297327e-02,1.377987e-02,3.220626e-02,2.214117e-02	0.107317	0.711073	0.238061	-100093.488151	27	1	no_deam	FS	1	ngsrelateWithRealFreq	0.0703120576857199
childE	childF	68484	0.268235	0.503776	0.227971	3e-06	5e-06	3e-06	7e-06	0.0	0.0	0.479869	1e-05	8e-06	0.239936	4e-06	3e-06	0.227971	0.0	0.227971	0.479874	0.0	-97072.071326	62	-1	0.696082	3.952187e-01,1.280104e-01,9.363869e-03,1.255850e-01,2.406141e-01,3.415076e-02,8.870789e-03,3.215849e-02,2.602780e-02	0.075784	0.711582	0.25482	-98300.881782	34	1	no_deam	FS	1	ngsrelateWithRealFreq	0.01665383081055727
childA	childB	99408	0.266747	0.488228	0.245005	1e-06	1.3e-05	3e-06	3e-06	0.0	0.0	0.489131	5e-06	1.4e-05	0.244567	1e-06	7e-06	0.245005	0.0	0.245005	0.489137	1e-06	-160445.060823	50	-1	1.0	4.017582e-01,1.212680e-01,9.244712e-03,1.227968e-01,2.390156e-01,3.413200e-02,1.106548e-02,3.486625e-02,2.585302e-02	0.084974	0.716961	0.250786	-163204.859606	5	20	no_deam	FS	1	ngsrelateWithRealFreq	0.01216541570737858
