a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childD	childF	98573	0.799095	0.200888	1.5e-05	0.0	0.0	0.0	0.0	0.0	2e-06	0.100461	2e-06	2e-06	0.050231	2e-06	2e-06	1.5e-05	2e-06	1.7e-05	0.100461	-0.0	-178110.513355	86	-1	0.992969	3.038543e-01,1.838913e-01,2.792681e-02,1.904055e-01,1.775216e-01,3.574415e-02,3.139074e-02,4.059936e-02,8.666267e-03	0.334143	0.34811	0.073089	-182862.372407	13	2	deam	FC	3	ngsrelateWithRealFreq	0.04009284139760281
childD	childE	99409	0.801929	0.197749	0.000318	0.0	0.0	0.0	0.0	0.0	3e-06	0.099196	3e-06	3e-06	0.049599	3e-06	3e-06	0.000318	3e-06	0.000321	0.099196	-0.0	-173811.936765	178	-1	0.99999	3.095883e-01,1.842310e-01,2.772414e-02,1.884511e-01,1.744731e-01,3.365405e-02,3.377101e-02,3.967636e-02,8.430862e-03	0.352462	0.343784	0.064762	-178451.3482	5	10	deam	FC	3	ngsrelateWithRealFreq	0.042531906321411614
childD	childF	99409	0.80194	0.197898	0.000145	9e-06	1e-06	2e-06	1e-06	0.0	3e-06	0.099099	6e-06	1.4e-05	0.049551	4e-06	4e-06	0.000145	3e-06	0.000148	0.099105	-3e-06	-173757.671827	58	-1	0.99999	3.098155e-01,1.829645e-01,2.876784e-02,1.884656e-01,1.727437e-01,3.536627e-02,3.257471e-02,4.032652e-02,8.975336e-03	0.355107	0.339735	0.063157	-179036.385043	5	10	deam	FC	3	ngsrelateWithRealFreq	0.04247510262494959
childD	childE	99378	0.80217	0.197503	0.000324	0.0	0.0	0.0	0.0	0.0	3e-06	0.099079	3e-06	3e-06	0.049541	3e-06	3e-06	0.000324	3e-06	0.000327	0.099079	-0.0	-173184.957046	190	-1	0.99997	3.104989e-01,1.839838e-01,2.795455e-02,1.881252e-01,1.737182e-01,3.369133e-02,3.390217e-02,3.970600e-02,8.419920e-03	0.356075	0.342394	0.063062	-177809.454687	6	8	no_deam	FC	3	ngsrelateWithRealFreq	0.042730741802594556
childD	childF	99379	0.80244	0.197553	5e-06	0.0	0.0	0.0	0.0	0.0	3e-06	0.098784	3e-06	3e-06	0.049393	3e-06	3e-06	5e-06	3e-06	7e-06	0.098784	-0.0	-173079.307023	118	-1	0.99998	3.107616e-01,1.826996e-01,2.898493e-02,1.881093e-01,1.720614e-01,3.536402e-02,3.276599e-02,4.032169e-02,8.931465e-03	0.358889	0.33854	0.06142	-178318.869678	7	8	no_deam	FC	3	ngsrelateWithRealFreq	0.04281993863455047
childD	childE	98876	0.802165	0.197811	2e-05	0.0	0.0	0.0	0.0	0.0	4e-06	0.09893	4e-06	4e-06	0.049467	4e-06	4e-06	2e-05	4e-06	2.4e-05	0.09893	-0.0	-170081.95949	162	-1	0.996272	3.102885e-01,1.849033e-01,2.771733e-02,1.886684e-01,1.730916e-01,3.355388e-02,3.371447e-02,3.968912e-02,8.373334e-03	0.354909	0.340566	0.063339	-174407.452673	10	4	no_deam	FC	3	ngsrelateWithRealFreq	0.0426023447946237
childD	childF	98880	0.80017	0.199824	2e-06	0.0	0.0	0.0	0.0	1e-06	3e-06	0.099917	5e-06	5e-06	0.04996	3e-06	3e-06	3e-06	3e-06	6e-06	0.099918	-0.0	-170092.375765	94	-1	0.996312	3.105615e-01,1.834070e-01,2.907453e-02,1.881880e-01,1.714384e-01,3.563335e-02,3.224331e-02,4.066245e-02,8.791351e-03	0.357667	0.336676	0.061716	-174972.335104	10	4	no_deam	FC	3	ngsrelateWithRealFreq	0.040966083044391755
childD	childE	68448	0.820356	0.179566	7.1e-05	0.0	0.0	0.0	0.0	0.0	7e-06	0.089861	7e-06	7e-06	0.044934	7e-06	7e-06	7.1e-05	7e-06	7.8e-05	0.089861	-0.0	-101177.769573	82	-1	0.695716	3.066396e-01,1.895006e-01,2.656292e-02,1.913726e-01,1.720967e-01,3.532983e-02,3.497616e-02,3.689863e-02,6.623011e-03	0.357584	0.334402	0.061481	-102967.23692	30	1	no_deam	FC	3	ngsrelateWithRealFreq	0.05747730025265045
childD	childF	68502	0.819216	0.180695	8.6e-05	0.0	0.0	0.0	0.0	0.0	3e-06	0.090437	3e-06	3e-06	0.04522	3e-06	3e-06	8.6e-05	3e-06	8.9e-05	0.090437	-0.0	-101037.856367	122	-1	0.696265	3.062914e-01,1.878698e-01,2.772709e-02,1.891171e-01,1.744091e-01,3.484379e-02,3.430431e-02,3.778064e-02,7.656672e-03	0.355666	0.340881	0.063057	-103184.499307	30	1	no_deam	FC	3	ngsrelateWithRealFreq	0.056550994913146045
childD	childE	99408	0.801793	0.19799	0.000214	0.0	0.0	0.0	0.0	0.0	2e-06	0.099212	2e-06	2e-06	0.049607	2e-06	2e-06	0.000214	2e-06	0.000217	0.099212	-0.0	-173286.94859	122	-1	1.0	3.105383e-01,1.840295e-01,2.771401e-02,1.884292e-01,1.737336e-01,3.342532e-02,3.400531e-02,3.977538e-02,8.349415e-03	0.355253	0.342414	0.063414	-177879.337453	5	20	no_deam	FC	3	ngsrelateWithRealFreq	0.042377670004378476
childD	childF	99408	0.801773	0.198125	0.000101	0.0	0.0	0.0	0.0	0.0	0.0	0.099164	1e-06	0.0	0.049582	0.0	0.0	0.000101	0.0	0.000101	0.099164	0.0	-173195.078459	70	-1	1.0	3.105987e-01,1.828122e-01,2.887086e-02,1.881446e-01,1.720240e-01,3.541967e-02,3.274776e-02,4.034878e-02,9.033463e-03	0.358198	0.338401	0.061695	-178494.168605	5	20	no_deam	FC	3	ngsrelateWithRealFreq	0.0423141794792242
childD	childE	91830	0.812137	0.187782	7.7e-05	0.0	0.0	0.0	0.0	0.0	4e-06	0.093972	4e-06	4e-06	0.046988	4e-06	4e-06	7.8e-05	4e-06	8.2e-05	0.093972	-0.0	-148953.329929	154	-1	0.928354	3.067005e-01,1.862561e-01,2.753552e-02,1.894151e-01,1.752565e-01,3.360021e-02,3.405169e-02,3.964308e-02,7.541394e-03	0.351412	0.343302	0.065149	-152316.724202	17	2	no_deam	FC	3	ngsrelateWithRealFreq	0.05076774639473373
childD	childF	91972	0.80684	0.192864	0.000288	4e-06	2e-06	2e-06	0.0	0.0	0.0	0.096722	2e-06	6e-06	0.048361	0.0	1e-06	0.000288	0.0	0.000288	0.096725	-1e-06	-149254.474772	58	-1	0.92979	3.087360e-01,1.834400e-01,2.908915e-02,1.892775e-01,1.716696e-01,3.656832e-02,3.356511e-02,3.880353e-02,8.850849e-03	0.36497	0.336117	0.058579	-153026.591799	18	2	no_deam	FC	3	ngsrelateWithRealFreq	0.046530961162076445
childD	childE	99395	0.801175	0.198676	0.000146	0.0	0.0	0.0	0.0	0.0	3e-06	0.099487	3e-06	3e-06	0.049745	3e-06	3e-06	0.000146	3e-06	0.000149	0.099487	-0.0	-173254.055914	166	-1	1.0	3.105107e-01,1.838770e-01,2.773746e-02,1.882821e-01,1.736404e-01,3.351722e-02,3.401719e-02,3.996131e-02,8.456715e-03	0.355647	0.342221	0.063223	-177885.495722	6	10	no_deam	FC	3	ngsrelateWithRealFreq	0.04184517063732284
