a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childE	childG	99404	0.923480	0.075934	0.000586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038553	0.000000	0.000001	0.019277	0.000000	0.000000	0.000586	0.000000	0.000586	0.038553	-0.000000	-178704.858763	86	-1	0.999909	2.941747e-01,1.954047e-01,3.859950e-02,1.902875e-01,1.727324e-01,3.976396e-02,3.171011e-02,3.087291e-02,6.454230e-03	0.407044	0.327990	0.040052	-183774.368755	7	4	deam	HC	4	ngsrelateWithRealFreq
childF	childG	99405	0.934624	0.065139	0.000234	0.000001	0.000000	0.000000	0.000000	0.000000	0.000002	0.032806	0.000002	0.000003	0.016404	0.000002	0.000002	0.000234	0.000002	0.000236	0.032806	-0.000000	-178722.271131	54	-1	0.999920	2.934315e-01,1.946431e-01,3.869997e-02,1.899498e-01,1.716779e-01,3.902180e-02,3.281171e-02,3.268882e-02,7.075389e-03	0.416546	0.325261	0.035833	-184451.358342	9	4	deam	HC	4	ngsrelateWithRealFreq
childD	childG	89494	0.907397	0.092483	0.000119	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046361	0.000001	0.000000	0.023181	0.000000	0.000000	0.000119	0.000000	0.000120	0.046361	0.000000	-152238.718287	90	-1	0.903341	2.918533e-01,1.922014e-01,3.609689e-02,1.893799e-01,1.709749e-01,4.029052e-02,3.334726e-02,3.697612e-02,8.879711e-03	0.406166	0.323637	0.040068	-156889.935371	18	1	deam	HC	4	ngsrelateWithRealFreq
childE	childG	89452	0.935141	0.064207	0.000635	0.000011	0.000005	0.000000	0.000000	0.000000	0.000000	0.032743	0.000000	0.000017	0.016372	0.000000	0.000003	0.000635	0.000000	0.000635	0.032750	-0.000005	-151673.354627	74	-1	0.902917	2.909992e-01,1.968168e-01,3.815286e-02,1.921602e-01,1.739341e-01,4.087980e-02,3.185240e-02,2.935305e-02,5.851586e-03	0.402482	0.328664	0.042033	-155261.912108	18	1	deam	HC	4	ngsrelateWithRealFreq
childF	childG	89371	0.943394	0.056465	0.000137	0.000001	0.000000	0.000000	0.000000	0.000000	0.000003	0.028373	0.000003	0.000004	0.014188	0.000003	0.000003	0.000137	0.000003	0.000140	0.028373	-0.000000	-151576.838238	50	-1	0.902100	2.908732e-01,1.968327e-01,3.849817e-02,1.903206e-01,1.713751e-01,3.941572e-02,3.370923e-02,3.201693e-02,6.958392e-03	0.421341	0.322866	0.033644	-155655.561784	22	1	deam	HC	4	ngsrelateWithRealFreq
childD	childG	99410	0.904855	0.095024	0.000118	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.047631	0.000003	0.000003	0.023816	0.000001	0.000001	0.000120	0.000001	0.000121	0.047633	-0.000000	-174461.396826	58	-1	1.000000	2.976675e-01,1.881224e-01,3.638273e-02,1.876329e-01,1.676775e-01,4.033346e-02,3.477565e-02,3.791055e-02,9.497282e-03	0.424376	0.319290	0.032129	-181302.121965	5	20	deam	HC	4	ngsrelateWithRealFreq
childE	childG	99410	0.927142	0.072639	0.000161	0.000050	0.000007	0.000000	0.000000	0.000000	0.000000	0.036486	0.000000	0.000057	0.018244	0.000000	0.000004	0.000161	0.000000	0.000161	0.036513	-0.000025	-174004.989764	74	-1	1.000000	2.984069e-01,1.948280e-01,3.977312e-02,1.893393e-01,1.682351e-01,3.999227e-02,3.232975e-02,3.064754e-02,6.448029e-03	0.428584	0.319286	0.030368	-179139.138188	5	20	deam	HC	4	ngsrelateWithRealFreq
childF	childG	99410	0.934248	0.065670	0.000052	0.000025	0.000000	0.000000	0.000000	0.000000	0.000004	0.032891	0.000004	0.000029	0.016447	0.000004	0.000004	0.000052	0.000004	0.000056	0.032904	-0.000013	-173929.098963	58	-1	1.000000	2.981924e-01,1.937200e-01,3.950193e-02,1.884204e-01,1.673277e-01,3.949891e-02,3.346335e-02,3.266275e-02,7.212553e-03	0.436062	0.317349	0.027121	-179825.328887	5	20	deam	HC	4	ngsrelateWithRealFreq
childD	childG	98604	0.914101	0.085690	0.000208	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.043054	0.000001	0.000001	0.021527	0.000001	0.000001	0.000208	0.000001	0.000209	0.043054	0.000000	-178823.537308	86	-1	0.993281	2.903301e-01,1.898211e-01,3.554736e-02,1.901860e-01,1.733939e-01,3.999938e-02,3.430590e-02,3.741166e-02,9.004661e-03	0.402859	0.328851	0.041889	-185042.925326	10	2	deam	HC	4	ngsrelateWithRealFreq
childE	childG	98616	0.930035	0.068577	0.001386	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.035677	0.000002	0.000002	0.017840	0.000002	0.000002	0.001386	0.000002	0.001389	0.035677	-0.000000	-178309.550453	106	-1	0.993402	2.926494e-01,1.960193e-01,3.873703e-02,1.906726e-01,1.734517e-01,3.968504e-02,3.172076e-02,3.086604e-02,6.198174e-03	0.406210	0.328693	0.040460	-182976.770050	11	2	deam	HC	4	ngsrelateWithRealFreq
