a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childC	98857	0.534078	0.465774	0.000147	0.0	0.0	0.0	0.0	0.0	0.0	0.233035	0.0	0.0	0.116517	0.0	0.0	0.000147	0.0	0.000147	0.233035	-0.0	-168072.005869	102	-1	0.99608	3.369633e-01,1.731992e-01,2.257944e-02,1.688444e-01,1.807187e-01,4.607198e-02,1.865796e-02,4.002729e-02,1.293775e-02	0.228186	0.385016	0.124425	-172348.363551	10	4	no_deam	HS	2	ngsrelateWithRealFreq	0.027885185846012708
childB	childC	98865	0.54509	0.454853	5e-05	5e-06	2e-06	0.0	0.0	0.0	0.0	0.227478	0.0	7e-06	0.113739	0.0	1e-06	5e-05	0.0	5e-05	0.227481	-3e-06	-168209.572009	75	-1	0.996161	3.360315e-01,1.756291e-01,2.312569e-02,1.699549e-01,1.794812e-01,4.669399e-02,1.841550e-02,3.884104e-02,1.182718e-02	0.231452	0.379726	0.122011	-172092.21927	10	4	no_deam	HS	2	ngsrelateWithRealFreq	0.03683911964655687
childA	childC	68677	0.572362	0.418215	0.009422	0.0	0.0	0.0	0.0	0.0	1e-06	0.21853	1e-06	1e-06	0.109266	1e-06	1e-06	0.009422	1e-06	0.009423	0.21853	0.0	-100642.530268	102	-1	0.698043	3.330171e-01,1.749226e-01,2.421660e-02,1.710107e-01,1.835714e-01,4.408987e-02,1.985637e-02,3.673512e-02,1.258024e-02	0.240086	0.389888	0.120198	-102531.426563	26	1	no_deam	HS	2	ngsrelateWithRealFreq	0.06328195991749941
childB	childC	68530	0.5765	0.423471	1.9e-05	0.0	0.0	0.0	0.0	0.0	1e-05	0.211764	1e-05	1e-05	0.105887	1e-05	1e-05	1.9e-05	1e-05	2.9e-05	0.211764	-0.0	-100706.321815	122	-1	0.696549	3.311899e-01,1.778883e-01,2.396115e-02,1.727498e-01,1.790748e-01,4.600416e-02,1.972455e-02,3.820383e-02,1.120360e-02	0.243952	0.374217	0.115642	-102438.623182	31	1	no_deam	HS	2	ngsrelateWithRealFreq	0.062473829726267534
childA	childC	99408	0.533724	0.466213	6.3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.23317	0.0	0.0	0.116585	0.0	0.0	6.3e-05	0.0	6.3e-05	0.23317	-0.0	-170904.846885	102	-1	1.0	3.370249e-01,1.729944e-01,2.225165e-02,1.690599e-01,1.806810e-01,4.620344e-02,1.868035e-02,4.008734e-02,1.301704e-02	0.226543	0.38502	0.125131	-175581.341638	5	20	no_deam	HS	2	ngsrelateWithRealFreq	0.027561286339114626
childB	childC	99408	0.542915	0.457058	2.1e-05	3e-06	3e-06	0.0	0.0	0.0	0.0	0.228552	0.0	6e-06	0.114276	0.0	2e-06	2.1e-05	0.0	2.1e-05	0.228554	-1e-06	-171072.541016	74	-1	1.0	3.368029e-01,1.759222e-01,2.289536e-02,1.694834e-01,1.791108e-01,4.655561e-02,1.847937e-02,3.872925e-02,1.202113e-02	0.231001	0.37942	0.122145	-175272.706184	5	20	no_deam	HS	2	ngsrelateWithRealFreq	0.03505097730449182
childA	childC	92042	0.547138	0.450097	0.002742	0.0	0.0	0.0	0.0	2.2e-05	2e-06	0.227792	2.4e-05	2.4e-05	0.113897	2e-06	2e-06	0.002763	2e-06	0.002765	0.227814	-0.0	-147825.531334	130	-1	0.930497	3.353058e-01,1.738649e-01,2.277699e-02,1.689219e-01,1.821621e-01,4.591758e-02,1.937781e-02,3.848014e-02,1.319264e-02	0.231414	0.388125	0.123628	-151279.672264	18	2	no_deam	HS	2	ngsrelateWithRealFreq	0.03966450561480209
childB	childC	92003	0.554101	0.445897	0.0	0.0	0.0	0.0	0.0	0.0	1e-06	0.22295	2e-06	2e-06	0.111476	1e-06	1e-06	0.0	1e-06	2e-06	0.22295	0.0	-147791.632758	298	-1	0.930103	3.349210e-01,1.763739e-01,2.325422e-02,1.707389e-01,1.798981e-01,4.691103e-02,1.847090e-02,3.781640e-02,1.161550e-02	0.231938	0.37988	0.121834	-150838.879882	18	2	no_deam	HS	2	ngsrelateWithRealFreq	0.04417409802889772
childA	childC	99395	0.533911	0.466054	2.6e-05	0.0	0.0	0.0	0.0	1e-06	7e-06	0.23306	8e-06	8e-06	0.116533	7e-06	7e-06	2.8e-05	7e-06	3.4e-05	0.233061	-0.0	-170852.548829	74	-1	1.0	3.372416e-01,1.727508e-01,2.222489e-02,1.690836e-01,1.805630e-01,4.618306e-02,1.876572e-02,4.028012e-02,1.290723e-02	0.227016	0.384759	0.124878	-175513.191757	6	10	no_deam	HS	2	ngsrelateWithRealFreq	0.02770251199801202
childB	childC	99395	0.543121	0.456833	2.5e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.228442	0.0	2e-05	0.114221	0.0	0.0	2.5e-05	0.0	2.5e-05	0.228452	-1e-05	-171044.193691	102	-1	1.0	3.369133e-01,1.758947e-01,2.290011e-02,1.696603e-01,1.789762e-01,4.641817e-02,1.851710e-02,3.871843e-02,1.200163e-02	0.231412	0.3791	0.121908	-175197.090852	6	10	no_deam	HS	2	ngsrelateWithRealFreq	0.03522693645020336
