a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	childE	99402	0.532351	0.467613	3.4e-05	0.0	0.0	0.0	0.0	0.0	2e-06	0.233843	2e-06	2e-06	0.116923	2e-06	2e-06	3.4e-05	2e-06	3.7e-05	0.233843	0.0	-174984.83027	114	-1	0.999889	3.341348e-01,1.751957e-01,1.892560e-02,1.741562e-01,1.871383e-01,4.030262e-02,1.994187e-02,4.041290e-02,9.792000e-03	0.207694	0.399071	0.136016	-178165.288184	7	4	deam	A	2	ngsrelateWithRealFreq	0.02642918920436267
childA	childF	99403	0.545389	0.454558	5.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.227331	0.0	0.0	0.113666	0.0	0.0	5.2e-05	0.0	5.2e-05	0.227331	-0.0	-175129.227214	98	-1	0.999899	3.333204e-01,1.752822e-01,1.968452e-02,1.733060e-01,1.854320e-01,4.283082e-02,2.018747e-02,3.988727e-02,1.006938e-02	0.215022	0.393549	0.131753	-178838.23069	9	4	deam	A	2	ngsrelateWithRealFreq	0.03708161893714997
childB	childD	99406	0.545285	0.454662	5.2e-05	0.0	0.0	1e-06	0.0	1e-06	0.0	0.227383	1e-06	1e-06	0.113691	0.0	0.0	5.2e-05	0.0	5.2e-05	0.227384	0.0	-175795.189664	134	-1	0.99993	3.305282e-01,1.783816e-01,2.234115e-02,1.693018e-01,1.845577e-01,4.643254e-02,1.806028e-02,3.813677e-02,1.226002e-02	0.218909	0.390471	0.129472	-179921.332655	7	4	deam	A	2	ngsrelateWithRealFreq	0.03699670333511713
childA	childE	89607	0.541014	0.458939	4.4e-05	0.0	0.0	0.0	0.0	0.0	3e-06	0.229516	3e-06	3e-06	0.11476	3e-06	3e-06	4.4e-05	3e-06	4.7e-05	0.229516	-0.0	-149697.853958	118	-1	0.904482	3.313502e-01,1.787621e-01,1.791335e-02,1.745072e-01,1.890528e-01,3.994758e-02,1.966108e-02,3.982831e-02,8.977384e-03	0.198751	0.40171	0.140423	-151831.729577	19	1	deam	A	2	ngsrelateWithRealFreq	0.03350699356353337
childA	childF	89494	0.559454	0.440505	3e-05	0.0	0.0	0.0	1.1e-05	0.0	0.0	0.220291	1.1e-05	0.0	0.110147	5e-06	0.0	3e-05	0.0	3e-05	0.220293	0.0	-149693.375762	366	-1	0.903341	3.320212e-01,1.750488e-01,1.992281e-02,1.739356e-01,1.864368e-01,4.370491e-02,2.064561e-02,3.958809e-02,8.696174e-03	0.217599	0.394287	0.130783	-152223.591738	19	1	deam	A	2	ngsrelateWithRealFreq	0.04856073187600589
childB	childD	89664	0.571473	0.424516	0.00401	0.0	0.0	0.0	0.0	1e-06	0.0	0.216268	1e-06	1e-06	0.108134	0.0	0.0	0.004011	0.0	0.004011	0.216269	0.0	-150485.243769	94	-1	0.905057	3.295849e-01,1.800891e-01,2.302416e-02,1.717710e-01,1.852287e-01,4.418237e-02,1.824984e-02,3.607181e-02,1.179814e-02	0.222827	0.391283	0.12794	-153247.285123	18	1	deam	A	2	ngsrelateWithRealFreq	0.060061923836986775
childA	childE	99410	0.530364	0.469607	2.4e-05	2e-06	0.0	0.0	0.0	1e-06	0.0	0.234828	2e-06	3e-06	0.117414	0.0	0.0	2.6e-05	0.0	2.6e-05	0.234831	-1e-06	-170484.159352	106	-1	1.0	3.393080e-01,1.737322e-01,1.922382e-02,1.729691e-01,1.829343e-01,4.010876e-02,2.073213e-02,4.089853e-02,1.009320e-02	0.218417	0.391166	0.12982	-173735.558836	5	20	deam	A	2	ngsrelateWithRealFreq	0.024803948079556454
childA	childF	99410	0.543772	0.456188	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.228134	0.0	0.0	0.114067	0.0	0.0	4e-05	0.0	4e-05	0.228134	-0.0	-170553.753544	74	-1	1.0	3.384358e-01,1.737934e-01,2.003503e-02,1.721314e-01,1.809946e-01,4.288755e-02,2.084843e-02,4.045878e-02,1.041503e-02	0.225882	0.384968	0.125405	-174420.962972	5	20	deam	A	2	ngsrelateWithRealFreq	0.035756029458913194
childB	childD	99410	0.542748	0.457212	2.2e-05	0.0	2e-06	0.0	2e-06	6e-06	7e-06	0.228639	1.5e-05	1.5e-05	0.114323	8e-06	8e-06	2.8e-05	7e-06	3.5e-05	0.228645	-0.0	-171137.408081	78	-1	1.0	3.356935e-01,1.770459e-01,2.289744e-02,1.681933e-01,1.802103e-01,4.678264e-02,1.828708e-02,3.838598e-02,1.250376e-02	0.228536	0.382131	0.12372	-175414.35127	5	20	deam	A	2	ngsrelateWithRealFreq	0.034919931901422716
childA	childE	98597	0.544815	0.454967	0.000213	4e-06	0.0	1e-06	0.0	0.0	0.0	0.227697	1e-06	4e-06	0.113848	0.0	0.0	0.000213	0.0	0.000213	0.227699	-2e-06	-175617.135474	70	-1	0.993211	3.318900e-01,1.760896e-01,1.912802e-02,1.755207e-01,1.875935e-01,3.969855e-02,2.020962e-02,3.994715e-02,9.922814e-03	0.209696	0.398632	0.13506	-178502.671669	10	2	deam	A	2	ngsrelateWithRealFreq	0.03668060651534179
childA	childF	98587	0.550966	0.448978	5.3e-05	0.0	0.0	0.0	0.0	0.0	3e-06	0.224545	3e-06	3e-06	0.112274	3e-06	3e-06	5.3e-05	3e-06	5.6e-05	0.224545	0.0	-175964.745576	122	-1	0.99311	3.316915e-01,1.755666e-01,1.966928e-02,1.735050e-01,1.869149e-01,4.262064e-02,2.030764e-02,3.972885e-02,9.995677e-03	0.213878	0.396512	0.132829	-179334.038209	11	2	deam	A	2	ngsrelateWithRealFreq	0.0416364441685406
childB	childD	98581	0.549005	0.450683	0.00031	1e-06	0.0	0.0	0.0	0.0	0.0	0.225652	1e-06	1e-06	0.112826	0.0	0.0	0.00031	0.0	0.00031	0.225652	-0.0	-175702.652027	94	-1	0.993049	3.282187e-01,1.791130e-01,2.238518e-02,1.700357e-01,1.869582e-01,4.630163e-02,1.731981e-02,3.753690e-02,1.213093e-02	0.212374	0.395518	0.133285	-179512.677951	11	2	deam	A	2	ngsrelateWithRealFreq	0.040140389526427525
childA	childE	99410	0.530387	0.469487	0.000126	0.0	0.0	0.0	0.0	0.0	0.0	0.23487	0.0	0.0	0.117435	0.0	0.0	0.000126	0.0	0.000126	0.23487	0.0	-171058.103428	126	-1	1.0	3.384839e-01,1.740171e-01,1.930312e-02,1.728259e-01,1.835380e-01,4.040270e-02,2.051040e-02,4.081593e-02,1.010300e-02	0.216923	0.39228	0.130683	-174339.119971	5	10	deam	A	2	ngsrelateWithRealFreq	0.02486248052789587
childA	childF	99410	0.544178	0.455791	2.1e-05	5e-06	1e-06	4e-06	0.0	0.0	1e-06	0.227918	5e-06	6e-06	0.11396	1e-06	1e-06	2.1e-05	1e-06	2.2e-05	0.227923	-1e-06	-171167.581163	58	-1	1.0	3.378115e-01,1.739356e-01,2.005249e-02,1.723728e-01,1.816000e-01,4.279913e-02,2.069100e-02,4.048081e-02,1.025674e-02	0.224358	0.38611	0.12628	-174997.058002	6	10	deam	A	2	ngsrelateWithRealFreq	0.03608384590552031
childB	childD	99408	0.542328	0.457614	5.8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.228865	0.0	0.0	0.114432	0.0	0.0	5.8e-05	0.0	5.8e-05	0.228865	-0.0	-171758.621379	74	-1	0.99998	3.349249e-01,1.772274e-01,2.278271e-02,1.684464e-01,1.809468e-01,4.663744e-02,1.818483e-02,3.839175e-02,1.245781e-02	0.226407	0.38363	0.124921	-176008.750534	5	10	deam	A	2	ngsrelateWithRealFreq	0.0345843699957076
childA	childE	99378	0.52997	0.469961	6.6e-05	0.0	0.0	0.0	0.0	0.0	2e-06	0.235048	2e-06	2e-06	0.117525	2e-06	2e-06	6.6e-05	2e-06	6.8e-05	0.235049	0.0	-170366.986549	66	-1	0.99997	3.394913e-01,1.737756e-01,1.951277e-02,1.725943e-01,1.827568e-01,4.045419e-02,2.046013e-02,4.085294e-02,1.010187e-02	0.218722	0.390798	0.129617	-173618.492678	6	8	no_deam	A	2	ngsrelateWithRealFreq	0.024498617491605534
childA	childF	99379	0.545301	0.454662	3.6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.227367	0.0	0.0	0.113684	0.0	0.0	3.6e-05	0.0	3.6e-05	0.227367	0.0	-170436.488334	86	-1	0.99998	3.386360e-01,1.739161e-01,2.024422e-02,1.722153e-01,1.808490e-01,4.274431e-02,2.079145e-02,4.029126e-02,1.031245e-02	0.226906	0.384619	0.124898	-174221.269846	6	8	no_deam	A	2	ngsrelateWithRealFreq	0.03700322571974864
childB	childD	99379	0.544389	0.45542	0.000189	0.0	0.0	0.0	0.0	2e-06	0.0	0.2279	2e-06	2e-06	0.11395	0.0	0.0	0.000191	0.0	0.000191	0.227901	0.0	-171066.2357	70	-1	0.99998	3.357069e-01,1.770202e-01,2.299037e-02,1.683455e-01,1.800753e-01,4.646277e-02,1.839549e-02,3.842542e-02,1.257810e-02	0.229825	0.381807	0.123106	-175311.605712	6	8	no_deam	A	2	ngsrelateWithRealFreq	0.036321689764290066
childA	childE	98883	0.532726	0.46716	0.000109	0.0	0.0	0.0	0.0	0.0	5e-06	0.233694	5e-06	5e-06	0.116849	5e-06	5e-06	0.000109	5e-06	0.000114	0.233694	-0.0	-167604.348317	186	-1	0.996342	3.393225e-01,1.738763e-01,1.954309e-02,1.724580e-01,1.832226e-01,3.992112e-02,2.087161e-02,4.055257e-02,1.023223e-02	0.220577	0.392153	0.12908	-170610.720378	11	4	no_deam	A	2	ngsrelateWithRealFreq	0.02676732184959863
childA	childF	98887	0.543947	0.456	5.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.228052	0.0	0.0	0.114026	0.0	0.0	5.2e-05	0.0	5.2e-05	0.228052	0.0	-167722.270354	86	-1	0.996383	3.384948e-01,1.740822e-01,2.017937e-02,1.716716e-01,1.809095e-01,4.307886e-02,2.091641e-02,4.048120e-02,1.018600e-02	0.227162	0.384579	0.12478	-171216.1593	10	4	no_deam	A	2	ngsrelateWithRealFreq	0.03590423147299863
childB	childD	98865	0.546901	0.452959	0.00014	0.0	0.0	0.0	0.0	0.0	0.0	0.22662	0.0	0.0	0.11331	0.0	0.0	0.00014	0.0	0.00014	0.22662	-0.0	-168198.065938	122	-1	0.996161	3.349353e-01,1.769038e-01,2.281540e-02,1.695013e-01,1.804044e-01,4.639849e-02,1.842691e-02,3.810243e-02,1.251206e-02	0.22861	0.382093	0.123681	-172155.856032	10	4	no_deam	A	2	ngsrelateWithRealFreq	0.03835178866754455
