a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childE	founder1	99398	0.534801	0.465035	0.000158	0.000000	0.000000	0.000000	0.000000	0.000001	0.000006	0.232681	0.000007	0.000007	0.116344	0.000006	0.000006	0.000158	0.000006	0.000164	0.232682	0.000000	-170894.199605	166	-1	1.000000	3.377068e-01,1.737087e-01,2.133610e-02,1.709395e-01,1.823379e-01,4.417657e-02,1.950758e-02,3.868538e-02,1.160148e-02	0.224000	0.389316	0.127054	-174614.249713	6	10	no_deam	GP	2	ngsrelateWithRealFreq
childF	founder0	99398	0.533424	0.466349	0.000227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.233402	0.000000	0.000000	0.116701	0.000000	0.000000	0.000227	0.000000	0.000227	0.233402	0.000000	-170911.735221	90	-1	1.000000	3.354198e-01,1.737763e-01,2.257031e-02,1.668402e-01,1.815834e-01,4.669354e-02,1.834489e-02,4.045018e-02,1.432135e-02	0.225325	0.387440	0.126122	-176043.067361	6	10	no_deam	GP	2	ngsrelateWithRealFreq
childF	founder1	99398	0.541601	0.458227	0.000172	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.229286	0.000000	0.000000	0.114643	0.000000	0.000000	0.000172	0.000000	0.000172	0.229286	-0.000000	-170874.138570	106	-1	1.000000	3.369188e-01,1.740219e-01,2.082164e-02,1.710156e-01,1.804905e-01,4.362183e-02,2.022586e-02,4.021450e-02,1.266941e-02	0.227422	0.384087	0.124574	-175156.483121	6	10	no_deam	GP	2	ngsrelateWithRealFreq
childG	founder1	99398	0.522858	0.476384	0.000746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000012	0.238950	0.000012	0.000012	0.119481	0.000012	0.000012	0.000747	0.000012	0.000759	0.238951	0.000000	-171502.556052	138	-1	1.000000	3.357876e-01,1.654818e-01,1.891178e-02,1.701668e-01,1.808776e-01,4.256804e-02,2.218719e-02,4.839327e-02,1.562587e-02	0.227220	0.386731	0.125170	-176919.695776	6	10	no_deam	GP	2	ngsrelateWithRealFreq
childG	founder2	99398	0.519134	0.479627	0.000890	0.000178	0.000163	0.000000	0.000000	0.000008	0.000000	0.240826	0.000009	0.000349	0.120433	0.000000	0.000081	0.000898	0.000000	0.000898	0.240964	-0.000089	-172305.470038	102	-1	1.000000	3.298717e-01,1.666337e-01,2.368498e-02,1.605021e-01,1.800716e-01,5.303709e-02,1.826072e-02,4.697283e-02,2.096537e-02	0.232939	0.383873	0.122166	-179787.395842	6	10	no_deam	GP	2	ngsrelateWithRealFreq
childH	founder4	99398	0.422892	0.468064	0.000283	0.000000	0.000001	0.108759	0.000001	0.000000	0.000000	0.234317	0.108760	0.000001	0.117159	0.000000	0.000000	0.000283	0.000000	0.000283	0.288697	0.054379	-174179.153653	110	-1	1.000000	3.491430e-01,1.859830e-01,2.619748e-02,1.395105e-01,1.607276e-01,4.698322e-02,2.861875e-02,4.711468e-02,1.572172e-02	0.341051	0.338796	0.068950	-178772.408121	6	10	no_deam	GP	2	ngsrelateWithRealFreq
childB	childI	99416	0.142626	0.500803	0.120242	0.125465	0.110864	0.000000	0.000000	0.000000	0.000000	0.453792	0.000000	0.236329	0.240754	0.000000	0.055432	0.120242	0.000000	0.120242	0.544240	-0.062732	-168986.537384	114	-1	0.999970	4.136006e-01,9.801540e-02,2.295421e-02,1.609754e-01,1.697103e-01,6.583153e-02,1.179951e-02,2.957498e-02,2.753802e-02	0.204783	0.436104	0.144422	-171180.177177	5	8	deam	GP	2	ngsrelateWithRealFreq
childD	founder0	99413	0.537778	0.457782	0.004437	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.233329	0.000002	0.000002	0.116665	0.000001	0.000001	0.004439	0.000001	0.004439	0.233331	0.000000	-172678.681398	70	-1	0.999940	3.307151e-01,1.687429e-01,2.156580e-02,1.689786e-01,1.833936e-01,4.478490e-02,1.964215e-02,4.538491e-02,1.679210e-02	0.224697	0.390948	0.127067	-178678.315033	5	8	deam	GP	2	ngsrelateWithRealFreq
childD	founder1	99414	0.534661	0.460030	0.005308	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.235323	0.000000	0.000000	0.117662	0.000000	0.000000	0.005309	0.000000	0.005309	0.235324	0.000000	-172521.257360	66	-1	0.999950	3.343510e-01,1.668961e-01,1.979037e-02,1.706512e-01,1.842013e-01,4.229270e-02,2.172877e-02,4.558160e-02,1.450688e-02	0.225401	0.394485	0.127438	-177655.054760	6	8	deam	GP	2	ngsrelateWithRealFreq
childE	founder0	99416	0.528842	0.468503	0.002651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.236907	0.000005	0.000005	0.118456	0.000005	0.000005	0.002651	0.000005	0.002655	0.236907	0.000000	-172261.367196	130	-1	0.999970	3.341329e-01,1.739547e-01,2.314761e-02,1.682344e-01,1.848330e-01,4.616532e-02,1.696350e-02,3.873458e-02,1.383393e-02	0.217013	0.395618	0.131296	-176858.696016	5	8	deam	GP	2	ngsrelateWithRealFreq
