a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	founder0	99403	0.000931	0.998988	7.6e-05	0.0	0.0	0.0	0.0	0.0	4e-06	0.499574	4e-06	5e-06	0.249789	4e-06	4e-06	7.6e-05	4e-06	8e-05	0.499575	-0.0	-164282.189061	118	-1.0	0.999899	3.813695e-01,1.469942e-01,2.714320e-05,1.350502e-01,2.037803e-01,6.257757e-02,2.412051e-05,5.020240e-02,1.997466e-02	0.000252	0.516062	0.25384	-168440.727701	14	4	deam	PO	1	ngsrelateWithRealFreq	0.0007951270338757252
childA	founder1	99404	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50003	0.0	0.0	0.250015	0.0	0.0	6e-05	0.0	6e-05	0.50003	-0.0	-164494.381773	130	-164494.449914	0.999909	3.813669e-01,1.470977e-01,1.308979e-07,1.424857e-01,2.020921e-01,5.662130e-02,3.618997e-07,5.090057e-02,1.943525e-02	2e-06	0.508913	0.252207	-168074.623273	13	4	deam	PO	1	ngsrelateWithRealFreq	0.0
childB	childE	99406	2.4e-05	0.999918	2.2e-05	3.4e-05	0.0	0.0	0.0	2e-06	0.0	0.499981	2e-06	3.5e-05	0.249991	0.0	0.0	2.4e-05	0.0	2.4e-05	0.5	-1.7e-05	-164467.849036	102	-1.0	0.99993	3.832787e-01,1.482183e-01,1.234598e-05,1.451752e-01,2.027023e-01,5.211036e-02,1.028981e-06,5.150128e-02,1.700039e-02	6.6e-05	0.510561	0.252584	-167091.546883	13	4	deam	PO	1	ngsrelateWithRealFreq	5.093787065306239e-05
childB	childF	99407	0.000315	0.999625	5.7e-05	0.0	0.0	1e-06	0.0	2e-06	0.0	0.49987	3e-06	2e-06	0.249935	0.0	0.0	5.9e-05	0.0	5.9e-05	0.499872	0.0	-164594.419222	95	-1.0	0.99994	3.833148e-01,1.481753e-01,8.322996e-06,1.437473e-01,2.015579e-01,5.472351e-02,5.707186e-07,5.053644e-02,1.793580e-02	4.4e-05	0.507458	0.251831	-167557.897155	14	4	deam	PO	1	ngsrelateWithRealFreq	0.00028466295860192904
childB	founder0	99407	0.000795	0.999176	2.7e-05	0.0	0.0	0.0	0.0	2e-06	0.0	0.499615	2e-06	2e-06	0.249808	0.0	0.0	2.9e-05	0.0	2.9e-05	0.499617	-0.0	-164599.989015	94	-1.0	0.99994	3.813787e-01,1.502048e-01,1.325589e-05,1.350346e-01,2.021467e-01,6.282388e-02,3.310774e-05,4.861024e-02,1.975480e-02	0.000229	0.509545	0.252263	-168456.746226	13	4	deam	PO	1	ngsrelateWithRealFreq	0.0006612437775384803
childB	founder1	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500012	0.0	0.0	0.250006	0.0	0.0	2.4e-05	0.0	2.4e-05	0.500012	-0.0	-164881.531328	118	-164881.566224	0.99995	3.814336e-01,1.500003e-01,8.296931e-09,1.424222e-01,2.009468e-01,5.668750e-02,1.637106e-08,4.912814e-02,1.938139e-02	0.0	0.504589	0.251142	-168114.46999	14	4	deam	PO	1	ngsrelateWithRealFreq	0.0
childC	childG	99407	0.000317	0.9996	7.6e-05	4e-06	0.0	2e-06	0.0	1e-06	0.0	0.499876	3e-06	4e-06	0.249938	0.0	0.0	7.7e-05	0.0	7.7e-05	0.49988	-1e-06	-165414.22532	118	-1.0	0.99994	3.782138e-01,1.425608e-01,9.401664e-07,1.381986e-01,2.012391e-01,5.958633e-02,1.730941e-05,5.483356e-02,2.534954e-02	9.1e-05	0.509211	0.252242	-170515.6127	14	4	deam	PO	1	ngsrelateWithRealFreq	0.0002979177738906966
childC	founder1	99406	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500045	0.0	0.0	0.250022	0.0	0.0	9e-05	0.0	9e-05	0.500045	0.0	-165042.89339	135	-165042.966437	0.99993	3.800379e-01,1.407686e-01,3.772031e-07,1.438505e-01,2.016931e-01,5.342486e-02,1.511241e-07,5.756916e-02,2.265531e-02	3e-06	0.509823	0.252431	-169513.939168	10	4	deam	PO	1	ngsrelateWithRealFreq	0.0
childC	founder2	99407	0.0	0.99989	3.2e-05	0.0	6e-06	7.2e-05	0.0	1e-06	0.0	0.499981	7.2e-05	7e-06	0.249991	0.0	3e-06	3.2e-05	0.0	3.2e-05	0.500019	3.6e-05	-165646.352732	130	-1.0	0.99994	3.746576e-01,1.461380e-01,5.851895e-08,1.296758e-01,2.001761e-01,6.913126e-02,1.550910e-05,5.260139e-02,2.760421e-02	7.8e-05	0.503509	0.25084	-171583.844662	13	4	deam	PO	1	ngsrelateWithRealFreq	6.614126296549426e-05
childD	founder3	99403	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500025	0.0	0.0	0.250013	0.0	0.0	5.1e-05	0.0	5.1e-05	0.500025	0.0	-165758.972471	130	-165759.010325	0.999899	3.714113e-01,1.466467e-01,3.351873e-07,1.269229e-01,2.031986e-01,7.071830e-02,1.107182e-07,5.341182e-02,2.768989e-02	2e-06	0.510934	0.252703	-171817.884632	14	4	deam	PO	1	ngsrelateWithRealFreq	0.0
childE	founder4	99405	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500037	2e-06	2e-06	0.250019	0.0	0.0	7.8e-05	0.0	7.8e-05	0.500039	-0.0	-165141.147683	143	-165141.231788	0.99992	3.802891e-01,1.482589e-01,1.439704e-07,1.325900e-01,2.032507e-01,6.652451e-02,8.841328e-08,4.768463e-02,2.140188e-02	1e-06	0.514483	0.253568	-169271.741047	13	4	deam	PO	1	ngsrelateWithRealFreq	0.0
