a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.804055	1.0		10	no_deam	PO	1	plink	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80379	1.0	198.0	10	no_deam	PO	1	plink	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.802645	1.0	198.0	10	no_deam	PO	1	plink	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.80271	1.0		10	no_deam	PO	1	plink	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804605	1.0		10	no_deam	PO	1	plink	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.80398	1.0		10	no_deam	PO	1	plink	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.803555	1.0		10	no_deam	PO	1	plink	0.0
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.801651	1.0		8	deam	PO	1	plink	0.0
childA	familyX	childH	OT	0	0.0005	0.8866	0.1129	0.5562	-1	0.82797	1.0		8	deam	PO	1	plink	0.09238726463461651
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.804391	1.0		8	deam	PO	1	plink	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803374	1.0		8	deam	PO	1	plink	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.803838	1.0		8	deam	PO	1	plink	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.803715	1.0		8	deam	PO	1	plink	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.803861	1.0		8	deam	PO	1	plink	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80281	1.0		8	deam	PO	1	plink	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.804423	1.0		8	deam	PO	1	plink	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.804213	1.0		8	deam	PO	1	plink	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.803077	1.0		8	deam	PO	1	plink	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.80306	1.0		8	deam	PO	1	plink	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804913	1.0		8	deam	PO	1	plink	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804296	1.0		8	deam	PO	1	plink	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.803935	1.0		8	deam	PO	1	plink	0.0
childA	familyX	childD	OT	0	0.0199	0.9801	0.0	0.4901	-1	0.799785	1.0	98.5	4	deam	PO	1	plink	0.01624828196046176
childA	familyX	childH	OT	0	0.0173	0.869	0.1137	0.5482	-1	0.825917	1.0	198.0	4	deam	PO	1	plink	0.100644556070692
childA	familyX	founder0	OT	0	0.0201	0.9799	0.0	0.49	-1	0.802917	1.0	65.3333	4	deam	PO	1	plink	0.016411581276647297
childA	familyX	founder1	OT	0	0.0159	0.9841	0.0	0.4921	-1	0.801973	1.0	98.5	4	deam	PO	1	plink	0.012982295636750857
childB	familyX	childE	OT	0	0.0192	0.9808	0.0	0.4904	-1	0.801831	1.0	198.0	4	deam	PO	1	plink	0.015676734353812335
childB	familyX	childF	OT	0	0.0201	0.9799	0.0	0.49	-1	0.801682	1.0		4	deam	PO	1	plink	0.016411581276647297
childB	familyX	founder0	OT	0	0.0212	0.9788	0.0	0.4894	-1	0.802072	1.0	98.5	4	deam	PO	1	plink	0.01730972751566779
childB	familyX	founder1	OT	0	0.0183	0.9817	0.0	0.4909	-1	0.801169	1.0	98.5	4	deam	PO	1	plink	0.01494188743097738
childC	familyX	childG	OT	0	0.0186	0.9814	0.0	0.4907	-1	0.802829	1.0	98.5	4	deam	PO	1	plink	0.015186836405255682
childC	familyX	founder1	OT	0	0.0168	0.9832	0.0	0.4916	-1	0.802628	1.0	98.5	4	deam	PO	1	plink	0.013717142559585812
childC	familyX	founder2	OT	0	0.0172	0.9828	0.0	0.4914	-1	0.801551	1.0		4	deam	PO	1	plink	0.014043741191956886
childD	familyX	founder3	OT	0	0.0199	0.9801	0.0	0.49	-1	0.801325	1.0	65.3333	4	deam	PO	1	plink	0.01624828196046176
childE	familyX	founder4	OT	0	0.0174	0.9826	0.0	0.4913	-1	0.802786	1.0		4	deam	PO	1	plink	0.014207040508142421
childF	familyX	founder4	OT	0	0.021	0.979	0.0	0.4895	-1	0.802249	1.0	48.75	4	deam	PO	1	plink	0.017146428199482255
childG	familyX	founder5	OT	0	0.0159	0.9841	0.0	0.492	-1	0.802198	1.0	98.5	4	deam	PO	1	plink	0.012982295636750857
childA	familyX	childD	OT	0	0.4975	0.4211	0.0814	0.292	-1	0.78011	0.9971	3.1458	1	deam	PO	1	plink	0.4431919899998194
childA	familyX	childH	OT	0	0.4519	0.3771	0.1709	0.3595	-1	0.801223	1.0	4.0769	1	deam	PO	1	plink	0.4551281248176166
childA	familyX	founder0	OT	0	0.4881	0.4221	0.0898	0.3008	-1	0.782636	1.0	4.6571	1	deam	PO	1	plink	0.4398007351820444
childA	familyX	founder1	OT	0	0.4866	0.4304	0.0829	0.2981	-1	0.781562	1.0	5.3871	1	deam	PO	1	plink	0.4351613225766585
childB	familyX	childE	OT	0	0.4866	0.4265	0.0869	0.3002	-1	0.78229	0.9997	3.6047	1	deam	PO	1	plink	0.4371244750258977
childB	familyX	childF	OT	0	0.4897	0.4254	0.0849	0.2976	-1	0.781587	1.0	5.8621	1	deam	PO	1	plink	0.43862636339676014
childB	familyX	founder0	OT	0	0.4874	0.4339	0.0787	0.2956	-1	0.780709	1.0	4.5	1	deam	PO	1	plink	0.4336748628485016
