IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childF	familyX	founder0	OT	0	0.4991	0.5009	0.0000	0.2504	-1	0.747023	1.0000	4.8529	10	deam	GP	2	plink
childF	familyX	founder1	OT	0	0.4978	0.5022	0.0000	0.2511	-1	0.746372	1.0000	4.6857	10	deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5027	0.4973	0.0000	0.2487	-1	0.747589	1.0000	5.4194	10	deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5121	0.4879	0.0000	0.2440	-1	0.746294	1.0000	8.0455	10	deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6748	0.2856	0.0396	0.1824	-1	0.737303	1.0000	4.3784	10	deam	GP	2	plink
childB	familyX	childI	OT	0	0.4423	0.3897	0.1680	0.3628	-1	0.788690	1.0000	4.1026	8	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5220	0.4780	0.0000	0.2390	-1	0.745558	1.0000	4.1026	8	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5281	0.4719	0.0000	0.2359	-1	0.746318	0.9989	3.3261	8	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.5073	0.4927	0.0000	0.2463	-1	0.746988	0.9999	3.8537	8	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.5102	0.4898	0.0000	0.2449	-1	0.746238	1.0000	5.4194	8	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	0.5139	0.4861	0.0000	0.2430	-1	0.745955	1.0000	4.8529	8	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.5101	0.4899	0.0000	0.2449	-1	0.745315	1.0000	4.2368	8	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5136	0.4864	0.0000	0.2432	-1	0.746528	1.0000	5.4194	8	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5244	0.4756	0.0000	0.2378	-1	0.745418	1.0000	7.6522	8	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6870	0.2730	0.0400	0.1765	-1	0.736157	0.9999	3.8537	8	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.5447	0.2682	0.1870	0.3212	-1	0.782351	1.0000	4.5278	4	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.6434	0.3354	0.0213	0.1889	-1	0.739370	0.8649	2.3729	4	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.6447	0.3322	0.0230	0.1892	-1	0.739562	0.9682	2.6852	4	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.6260	0.3593	0.0147	0.1943	-1	0.740073	0.9894	2.9020	4	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.6327	0.3516	0.0157	0.1915	-1	0.739507	0.9993	3.4222	4	no_deam	GP	2	plink
