a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childA	founder0	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	1e-06	0.25	0.0	0.0	0.0	0.0	0.0	0.5	-0.0	-150173.75962	234	-150173.76452	1.0	3.863561e-01,1.458834e-01,7.758207e-11,1.341852e-01,1.991228e-01,6.269734e-02,1.756036e-10,5.094385e-02,2.081118e-02	0.0	0.50576	0.251432	-163547.148528	5	20	deam	PO	1	ngsrelate	0.0
childA	founder1	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499998	1e-06	0.0	0.249999	0.0	0.0	0.0	0.0	0.0	0.499999	0.0	-149349.136896	126	-149349.165887	1.0	3.865430e-01,1.456963e-01,6.130829e-11,1.412444e-01,1.976591e-01,5.710222e-02,1.600859e-09,5.168777e-02,2.006720e-02	0.0	0.499479	0.24987	-163039.744292	5	20	deam	PO	1	ngsrelate	0.0
childB	childE	99407	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499999	0.0	0.0	0.249999	0.0	0.0	0.0	0.0	0.0	0.499999	-0.0	-147594.801365	150	-147594.809342	0.99999	3.890178e-01,1.466659e-01,3.335904e-11,1.440686e-01,1.988701e-01,5.226109e-02,9.406875e-11,5.204021e-02,1.707637e-02	0.0	0.503423	0.250853	-161722.719493	5	20	deam	PO	1	ngsrelate	0.0
childB	childF	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499999	0.0	1e-06	0.25	0.0	0.0	0.0	0.0	0.0	0.499999	-0.0	-147922.343276	122	-147922.361608	1.0	3.889397e-01,1.467392e-01,5.392978e-11,1.425163e-01,1.975556e-01,5.513285e-02,8.892428e-12,5.093131e-02,1.818496e-02	0.0	0.499736	0.249934	-162171.771788	5	20	deam	PO	1	ngsrelate	0.0
childB	founder0	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	1e-06	0.25	0.0	0.0	0.0	0.0	0.0	0.5	0.0	-149811.931311	230	-149811.937208	1.0	3.867874e-01,1.488931e-01,1.201630e-10,1.337542e-01,1.982423e-01,6.320795e-02,4.179344e-11,4.881480e-02,2.030027e-02	0.0	0.502299	0.250573	-163240.320347	5	20	deam	PO	1	ngsrelate	0.0
childB	founder1	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499998	3e-06	1e-06	0.249999	1e-06	0.0	0.0	0.0	0.0	0.499999	-0.0	-149005.263526	126	-149005.325872	1.0	3.866819e-01,1.490018e-01,1.529094e-10,1.411062e-01,1.966643e-01,5.743008e-02,2.815749e-10,4.937669e-02,1.973896e-02	0.0	0.495482	0.248865	-162772.932037	5	20	deam	PO	1	ngsrelate	0.0
childC	childG	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500001	6e-06	0.0	0.250001	3e-06	0.0	3e-06	0.0	3e-06	0.500003	0.0	-153025.657771	178	-153025.731542	1.0	3.832602e-01,1.414499e-01,3.474707e-11,1.368283e-01,1.968640e-01,6.009830e-02,1.138860e-10,5.536677e-02,2.613258e-02	0.0	0.499981	0.249995	-165127.007817	5	20	deam	PO	1	ngsrelate	0.0
childC	founder1	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500006	2e-06	3e-06	0.250004	1e-06	1e-06	1e-05	0.0	1e-05	0.500007	0.0	-151237.04947	170	-151237.120449	1.0	3.851745e-01,1.395369e-01,1.832973e-10,1.426157e-01,1.973715e-01,5.380274e-02,1.639473e-10,5.813203e-02,2.336656e-02	0.0	0.500832	0.250208	-164109.129867	5	20	deam	PO	1	ngsrelate	0.0
childC	founder2	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500003	1e-06	1.4e-05	0.250003	0.0	7e-06	1e-06	0.0	1e-06	0.500007	0.0	-155028.933316	118	-155028.978651	1.0	3.796859e-01,1.450246e-01,2.147753e-09,1.284136e-01,1.957356e-01,6.964199e-02,1.715771e-09,5.315088e-02,2.834753e-02	0.0	0.493993	0.248489	-166337.907875	5	20	deam	PO	1	ngsrelate	0.0
childD	founder3	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500007	1e-06	3e-05	0.250007	0.0	1.5e-05	1e-06	0.0	1e-06	0.500015	-0.0	-155547.960921	71	-155548.047201	1.0	3.766483e-01,1.455127e-01,2.846094e-10,1.256449e-01,1.989274e-01,7.107787e-02,2.160687e-10,5.387055e-02,2.831816e-02	0.0	0.502207	0.250551	-166669.725647	5	20	deam	PO	1	ngsrelate	0.0
