a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childF	founder0	91980	0.770452	0.227849	0.001697	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.115623	0.000000	0.000001	0.057812	0.000000	0.000001	0.001697	0.000000	0.001697	0.115623	-0.000000	-138611.017421	106	-1	0.930021	3.332287e-01,1.735525e-01,2.307371e-02,1.676618e-01,1.847552e-01,4.496042e-02,1.881436e-02,3.943525e-02,1.451811e-02	0.226722	0.395200	0.126998	-151461.148514	18	2	no_deam	GP	2	ngsrelate
childF	founder1	91879	0.815078	0.184833	0.000087	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.092504	0.000002	0.000002	0.046252	0.000000	0.000000	0.000088	0.000000	0.000089	0.092505	-0.000000	-137113.514425	114	-1	0.929000	3.354815e-01,1.736788e-01,2.104028e-02,1.731486e-01,1.811941e-01,4.224009e-02,2.059277e-02,3.960228e-02,1.302157e-02	0.229770	0.385271	0.123794	-150453.647704	18	2	no_deam	GP	2	ngsrelate
childG	founder1	92008	0.719600	0.280356	0.000039	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.140220	0.000005	0.000000	0.070111	0.000003	0.000000	0.000039	0.000000	0.000039	0.140222	0.000000	-140329.036629	290	-1	0.930304	3.343305e-01,1.659667e-01,1.914809e-02,1.717575e-01,1.804149e-01,4.293681e-02,2.181191e-02,4.890854e-02,1.472506e-02	0.227032	0.383429	0.124614	-152149.800190	19	2	no_deam	GP	2	ngsrelate
childG	founder2	92097	0.629639	0.370014	0.000347	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.185354	0.000000	0.000000	0.092677	0.000000	0.000000	0.000347	0.000000	0.000347	0.185354	-0.000000	-144835.908536	126	-1	0.931204	3.271902e-01,1.673206e-01,2.478706e-02,1.613755e-01,1.805590e-01,5.251372e-02,1.806590e-02,4.686046e-02,2.132751e-02	0.237335	0.383415	0.120191	-154796.489453	14	2	no_deam	GP	2	ngsrelate
childH	founder4	91995	0.734276	0.235963	0.000005	0.000001	0.000000	0.029750	0.000000	0.000000	0.000005	0.117992	0.029754	0.000006	0.058998	0.000005	0.000005	0.000006	0.000005	0.000010	0.132867	0.014874	-140561.390612	58	-1	0.930173	3.476309e-01,1.860880e-01,2.651871e-02,1.417249e-01,1.591388e-01,4.695696e-02,2.895950e-02,4.720211e-02,1.578013e-02	0.348615	0.333310	0.065089	-152893.415108	14	2	no_deam	GP	2	ngsrelate
childB	childI	99398	0.186211	0.556281	0.081614	0.154980	0.020914	0.000000	0.000000	0.000000	0.000000	0.375440	0.000000	0.175894	0.190334	0.000000	0.010457	0.081614	0.000000	0.081614	0.458159	-0.077490	-155752.490807	166	-1	1.000000	4.152818e-01,9.757607e-02,2.313262e-02,1.606701e-01,1.685739e-01,6.573784e-02,1.198936e-02,2.943703e-02,2.760121e-02	0.208348	0.433862	0.142390	-169736.144350	6	10	no_deam	GP	2	ngsrelate
childD	founder0	99398	0.694736	0.305177	0.000086	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.152674	0.000001	0.000001	0.076337	0.000000	0.000000	0.000087	0.000000	0.000087	0.152676	-0.000000	-162525.260616	90	-1	1.000000	3.322573e-01,1.682787e-01,2.173120e-02,1.685449e-01,1.819187e-01,4.494447e-02,1.979411e-02,4.560994e-02,1.692070e-02	0.228263	0.387966	0.124957	-177504.383141	6	10	no_deam	GP	2	ngsrelate
childD	founder1	99398	0.719851	0.280013	0.000133	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.140140	0.000003	0.000002	0.070070	0.000001	0.000000	0.000134	0.000000	0.000135	0.140142	0.000000	-161042.386132	78	-1	1.000000	3.357161e-01,1.665730e-01,1.998475e-02,1.705221e-01,1.825150e-01,4.235546e-02,2.192360e-02,4.563756e-02,1.477243e-02	0.229616	0.390827	0.124916	-176504.962900	6	10	no_deam	GP	2	ngsrelate
childE	founder0	99398	0.740273	0.259667	0.000060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.129893	0.000000	0.000000	0.064947	0.000000	0.000000	0.000060	0.000000	0.000060	0.129894	-0.000000	-159524.045069	90	-1	1.000000	3.357084e-01,1.736046e-01,2.343407e-02,1.677384e-01,1.834767e-01,4.624485e-02,1.714757e-02,3.873903e-02,1.390632e-02	0.221181	0.392961	0.128975	-175504.261589	6	10	no_deam	GP	2	ngsrelate
childE	founder1	99398	0.783310	0.216677	0.000013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108352	0.000000	0.000000	0.054176	0.000000	0.000000	0.000013	0.000000	0.000013	0.108352	-0.000000	-158066.004599	94	-1	1.000000	3.377065e-01,1.737085e-01,2.133573e-02,1.709420e-01,1.823381e-01,4.417634e-02,1.950736e-02,3.868403e-02,1.160154e-02	0.223997	0.389317	0.127056	-174614.249708	6	10	no_deam	GP	2	ngsrelate
