a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childB	childC	0.557895	0.442015	8.5e-05	1	no_deam	HS	2	ngsrelateWithRealFreq	0.0473078516210575
childA	childC	0.533683	0.466307	8e-06	20	no_deam	HS	2	ngsrelateWithRealFreq	0.0275061375090481
childB	childC	0.542993	0.456971	3e-05	20	no_deam	HS	2	ngsrelateWithRealFreq	0.0351183417888714
childA	childC	0.548515	0.450325	0.00115	2	no_deam	HS	2	ngsrelateWithRealFreq	0.0400941947169412
childB	childC	0.556231	0.443584	7.5e-05	2	no_deam	HS	2	ngsrelateWithRealFreq	0.0459880275796502
childA	childC	0.534234	0.465749	1.3e-05	10	no_deam	HS	2	ngsrelateWithRealFreq	0.0279588860412332
childB	childC	0.543712	0.45624	3.9e-05	10	no_deam	HS	2	ngsrelateWithRealFreq	0.035710306938847
childA	childC	0.535434	0.464496	7.1e-05	8	deam	HS	2	ngsrelateWithRealFreq	0.028960360339609
childB	childC	0.54323	0.456738	3.2e-05	8	deam	HS	2	ngsrelateWithRealFreq	0.0353102183888271
childA	childC	0.532567	0.467366	6.7e-05	4	deam	HS	2	ngsrelateWithRealFreq	0.0266182389475086
childB	childC	0.544204	0.45578	1.3e-05	4	deam	HS	2	ngsrelateWithRealFreq	0.0360989482072077
childA	childC	0.558087	0.441888	2.3e-05	1	deam	HS	2	ngsrelateWithRealFreq	0.0474380460600982
childB	childC	0.553572	0.446388	3.3e-05	1	deam	HS	2	ngsrelateWithRealFreq	0.0437576919600047
childA	childC	0.533835	0.466131	2.6e-05	20	deam	HS	2	ngsrelateWithRealFreq	0.0276400498190578
childB	childC	0.542999	0.456966	3.1e-05	20	deam	HS	2	ngsrelateWithRealFreq	0.0351228326401312
childA	childC	0.539211	0.460667	0.000114	2	deam	HS	2	ngsrelateWithRealFreq	0.0320655599566471
childB	childC	0.549597	0.450379	2.1e-05	2	deam	HS	2	ngsrelateWithRealFreq	0.0405055818828302
childA	childC	0.534291	0.465629	6.3e-05	10	deam	HS	2	ngsrelateWithRealFreq	0.0280311867450047
