a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	founder0	0.033	0.967	0.0	2	deam	PO	1	lcmlkin	0.0269443871706149
childA	founder1	0.048	0.952	0.0	2	deam	PO	1	lcmlkin	0.0391918358845308
childB	childE	0.066	0.934	0.0	2	deam	PO	1	lcmlkin	0.0538887743412299
childB	childF	0.056	0.944	0.0	2	deam	PO	1	lcmlkin	0.0457238085319526
childB	founder0	0.033	0.967	0.0	2	deam	PO	1	lcmlkin	0.0269443871706149
childB	founder1	0.056	0.944	0.0	2	deam	PO	1	lcmlkin	0.0457238085319526
childC	childG	0.02	0.98	0.0	2	deam	PO	1	lcmlkin	0.0163299316185545
childC	founder1	0.037	0.962	0.0	2	deam	PO	1	lcmlkin	0.0306213433191077
childC	founder2	0.012	0.988	0.0	2	deam	PO	1	lcmlkin	0.0097979589711327
childD	founder3	0.012	0.987	0.001	2	deam	PO	1	lcmlkin	0.0102306728354818
childE	founder4	0.026	0.973	0.0	2	deam	PO	1	lcmlkin	0.0216410104508392
childF	founder4	0.029	0.971	0.0	2	deam	PO	1	lcmlkin	0.023678400846904
childG	founder5	0.012	0.986	0.002	2	deam	PO	1	lcmlkin	0.0107082522694726
childA	childD	0.002	0.998	0.0	10	deam	PO	1	lcmlkin	0.0016329931618554
childA	childH	0.0	0.95	0.05	10	deam	PO	1	lcmlkin	0.0408248290463863
childA	founder0	0.001	0.998	0.0	10	deam	PO	1	lcmlkin	0.0012909944487358
childA	founder1	0.001	0.998	0.0	10	deam	PO	1	lcmlkin	0.0012909944487358
childB	childE	0.002	0.998	0.0	10	deam	PO	1	lcmlkin	0.0016329931618554
childB	childF	0.002	0.998	0.0	10	deam	PO	1	lcmlkin	0.0016329931618554
childB	founder0	0.001	0.998	0.0	10	deam	PO	1	lcmlkin	0.0012909944487358
childB	founder1	0.002	0.998	0.0	10	deam	PO	1	lcmlkin	0.0016329931618554
childC	childG	0.001	0.998	0.001	10	deam	PO	1	lcmlkin	0.001414213562373
childC	founder1	0.001	0.998	0.001	10	deam	PO	1	lcmlkin	0.001414213562373
childC	founder2	0.0	0.998	0.002	10	deam	PO	1	lcmlkin	0.0016329931618554
childD	founder3	0.0	0.998	0.002	10	deam	PO	1	lcmlkin	0.0016329931618554
childE	founder4	0.001	0.998	0.001	10	deam	PO	1	lcmlkin	0.001414213562373
childF	founder4	0.001	0.998	0.001	10	deam	PO	1	lcmlkin	0.001414213562373
childG	founder5	0.0	0.997	0.003	10	deam	PO	1	lcmlkin	0.0024494897427831
childA	childD	0.003	0.997	0.0	8	no_deam	PO	1	lcmlkin	0.0024494897427831
childA	childH	0.001	0.949	0.05	8	no_deam	PO	1	lcmlkin	0.0412391399845664
childA	founder0	0.003	0.997	0.0	8	no_deam	PO	1	lcmlkin	0.0024494897427831
childA	founder1	0.004	0.995	0.0	8	no_deam	PO	1	lcmlkin	0.0036968455021364
childB	childE	0.005	0.995	0.0	8	no_deam	PO	1	lcmlkin	0.0040824829046386
childB	childF	0.006	0.994	0.0	8	no_deam	PO	1	lcmlkin	0.0048989794855663
childB	founder0	0.003	0.997	0.0	8	no_deam	PO	1	lcmlkin	0.0024494897427831
