a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childD	childE	0.7506	0.2494	0.0	8	deam	FC	3	plink	0.0004898979485566
childD	childF	0.7473	0.2527	0.0	8	deam	FC	3	plink	0.0022045407685048
childD	childE	0.7589	0.2411	0.0	4	deam	FC	3	plink	0.0072668195702567
childD	childF	0.7544	0.2456	0.0	4	deam	FC	3	plink	0.0035925849560819
childD	childE	1.0	0.0	0.0	1	deam	FC	3	plink	0.2041241452319315
childD	childF	1.0	0.0	0.0	1	deam	FC	3	plink	0.2041241452319315
childD	childE	0.7536	0.2464	0.0	20	deam	FC	3	plink	0.0029393876913398
childD	childF	0.7503	0.2497	0.0	20	deam	FC	3	plink	0.0002449489742783
childD	childE	0.917	0.0555	0.0275	2	deam	FC	3	plink	0.148857314230776
childD	childF	0.9258	0.0451	0.0291	2	deam	FC	3	plink	0.1567763375002745
childD	childE	0.7525	0.2475	0.0	10	deam	FC	3	plink	0.0020412414523192
childD	childF	0.7481	0.2519	0.0	10	deam	FC	3	plink	0.0015513435037626
childD	childE	0.997	0.003	0.0	8	no_deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	8	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.001	4	no_deam	FC	3	lcmlkin	0.2016754819009985
childD	childF	0.996	0.004	0.0	4	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.995	0.004	0.001	1	no_deam	FC	3	lcmlkin	0.2004511578082468
childD	childF	0.994	0.006	0.0	1	no_deam	FC	3	lcmlkin	0.1992251657463651
childD	childE	0.997	0.003	0.0	20	no_deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	20	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.004	0.0	2	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childF	0.996	0.004	0.0	2	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	10	no_deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	10	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	8	deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	8	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	4	deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	4	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.995	0.005	0.0	1	deam	FC	3	lcmlkin	0.2000416623272928
childD	childF	0.995	0.005	0.0	1	deam	FC	3	lcmlkin	0.2000416623272928
childD	childE	0.997	0.003	0.0	20	deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	20	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.004	0.0	2	deam	FC	3	lcmlkin	0.2008581589082206
childD	childF	0.996	0.004	0.0	2	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	10	deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	10	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	8	no_deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	8	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.003	0.0	4	no_deam	FC	3	lcmlkin	0.2012668212431779
childD	childF	0.996	0.004	0.0	4	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.995	0.005	0.0	1	no_deam	FC	3	lcmlkin	0.2000416623272928
childD	childF	0.995	0.005	0.0	1	no_deam	FC	3	lcmlkin	0.2000416623272928
childD	childE	0.997	0.003	0.0	20	no_deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	20	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.004	0.0	2	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childF	0.995	0.005	0.0	2	no_deam	FC	3	lcmlkin	0.2000416623272928
childD	childE	0.997	0.003	0.0	10	no_deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	10	no_deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	8	deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	8	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.997	0.003	0.0	4	deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	4	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.995	0.005	0.0	1	deam	FC	3	lcmlkin	0.2000416623272928
childD	childF	0.995	0.005	0.0	1	deam	FC	3	lcmlkin	0.2000416623272928
childD	childE	0.997	0.003	0.0	20	deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	20	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.996	0.004	0.0	2	deam	FC	3	lcmlkin	0.2008581589082206
childD	childF	0.996	0.003	0.001	2	deam	FC	3	lcmlkin	0.2012676493296095
childD	childE	0.997	0.003	0.0	10	deam	FC	3	lcmlkin	0.2016746554891483
childD	childF	0.996	0.004	0.0	10	deam	FC	3	lcmlkin	0.2008581589082206
childD	childE	0.802128	0.197783	8.5e-05	8	no_deam	FC	3	ngsrelateWithRealFreq	0.0425987116315348
childD	childF	0.80325	0.196703	4.2e-05	8	no_deam	FC	3	ngsrelateWithRealFreq	0.0434976415950719
childD	childE	0.805517	0.193402	0.001065	4	no_deam	FC	3	ngsrelateWithRealFreq	0.0457770143121341
childD	childF	0.797639	0.202358	2e-06	4	no_deam	FC	3	ngsrelateWithRealFreq	0.038898305400107
childD	childE	0.831254	0.166746	0.001986	1	no_deam	FC	3	ngsrelateWithRealFreq	0.067174859454015
childD	childF	0.814227	0.185713	5.6e-05	1	no_deam	FC	3	ngsrelateWithRealFreq	0.0524656364807798
childD	childE	0.8019	0.197917	0.00018	20	no_deam	FC	3	ngsrelateWithRealFreq	0.0424510749333865
childD	childF	0.802195	0.197645	0.000158	20	no_deam	FC	3	ngsrelateWithRealFreq	0.0426825062291332
childD	childE	0.80556	0.194427	1e-05	2	no_deam	FC	3	ngsrelateWithRealFreq	0.0453698579418832
childD	childF	0.813963	0.186031	0.0	2	no_deam	FC	3	ngsrelateWithRealFreq	0.0522280203530633
childD	childE	0.80148	0.198364	0.000153	10	no_deam	FC	3	ngsrelateWithRealFreq	0.0420970715727352
childD	childF	0.801092	0.198906	0.0	10	no_deam	FC	3	ngsrelateWithRealFreq	0.0417172598173306
childD	childE	0.802019	0.197718	0.000261	8	deam	FC	3	ngsrelateWithRealFreq	0.0425811069450603
childD	childF	0.80223	0.197769	0.0	8	deam	FC	3	ngsrelateWithRealFreq	0.0426460246720996
childD	childE	0.803708	0.194983	0.001307	4	deam	FC	3	ngsrelateWithRealFreq	0.0443964255393006
childD	childF	0.803416	0.196581	0.0	4	deam	FC	3	ngsrelateWithRealFreq	0.0436152061289026
childD	childE	0.806831	0.193144	2.2e-05	1	deam	FC	3	ngsrelateWithRealFreq	0.0464125262581844
childD	childF	0.821401	0.174242	0.004355	1	deam	FC	3	ngsrelateWithRealFreq	0.0601563058207533
childD	childE	0.801906	0.197859	0.000231	20	deam	FC	3	ngsrelateWithRealFreq	0.0424773275917086
childD	childF	0.80196	0.197924	0.000116	20	deam	FC	3	ngsrelateWithRealFreq	0.0424725983507798
childD	childE	0.806056	0.191343	0.002599	2	deam	FC	3	ngsrelateWithRealFreq	0.0468674499199604
