a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	childE	0.808	0.192	0.001	8	deam	A	2	lcmlkin	0.2514816096655976
childA	childF	0.818	0.177	0.005	8	deam	A	2	lcmlkin	0.2617110365778766
childB	childD	0.783	0.215	0.002	8	deam	A	2	lcmlkin	0.2318893414253158
childA	childE	0.81	0.19	0.0	4	deam	A	2	lcmlkin	0.2531139400875951
childA	childF	0.822	0.176	0.003	4	deam	A	2	lcmlkin	0.2637353471443168
childB	childD	0.78	0.219	0.001	4	deam	A	2	lcmlkin	0.229028382520595
childA	childE	0.849	0.139	0.011	1	deam	A	2	lcmlkin	0.2899672395288819
childA	childF	0.844	0.156	0.0	1	deam	A	2	lcmlkin	0.2808748238391377
childB	childD	0.825	0.17	0.004	1	deam	A	2	lcmlkin	0.2674203931390922
childA	childE	0.814	0.184	0.002	20	deam	A	2	lcmlkin	0.2572003110418026
childA	childF	0.814	0.184	0.002	20	deam	A	2	lcmlkin	0.2572003110418026
childB	childD	0.777	0.223	0.0	20	deam	A	2	lcmlkin	0.2261695529169801
childA	childE	0.835	0.162	0.004	2	deam	A	2	lcmlkin	0.2747635346984748
childA	childF	0.827	0.172	0.001	2	deam	A	2	lcmlkin	0.267403565171945
childB	childD	0.799	0.194	0.007	2	deam	A	2	lcmlkin	0.2470398078583018
childA	childE	0.807	0.192	0.001	10	deam	A	2	lcmlkin	0.251073694360839
childA	childF	0.819	0.179	0.002	10	deam	A	2	lcmlkin	0.2612827331965636
childB	childD	0.781	0.215	0.004	10	deam	A	2	lcmlkin	0.2310858426357328
childA	childE	0.813	0.184	0.002	8	no_deam	A	2	lcmlkin	0.2567936915112986
childA	childF	0.816	0.181	0.003	8	no_deam	A	2	lcmlkin	0.2592463435936304
childB	childD	0.786	0.212	0.003	8	no_deam	A	2	lcmlkin	0.2343423421691721
childA	childE	0.823	0.174	0.004	4	no_deam	A	2	lcmlkin	0.2649660355592769
childA	childF	0.817	0.182	0.001	4	no_deam	A	2	lcmlkin	0.2592386288087998
childB	childD	0.796	0.201	0.003	4	no_deam	A	2	lcmlkin	0.2429169954257352
childA	childE	0.944	0.019	0.037	1	no_deam	A	2	lcmlkin	0.3785348949128292
childA	childF	0.886	0.113	0.001	1	no_deam	A	2	lcmlkin	0.3155767207299465
childB	childD	0.853	0.136	0.011	1	no_deam	A	2	lcmlkin	0.2928173492127814
childA	childE	0.807	0.192	0.001	20	no_deam	A	2	lcmlkin	0.251073694360839
childA	childF	0.812	0.187	0.001	20	no_deam	A	2	lcmlkin	0.2551561613339303
childB	childD	0.779	0.219	0.002	20	no_deam	A	2	lcmlkin	0.2286234167067465
